B: 	deze hebben ik omschrijven als een brievenbus maar ik vinden het nu misschien veel weg hebben van een broodrooster 
B: 	het zijn een koffiebeker waaruit een klein stuk van een een een boek of in ieder geval een een rechthoek vierkant uit komen bovenin 
B: 	en er zitten drie uitsteeksel aan 
B: 	één daarvan zijn een beetje een een een rond iets een een soort pion 
A: 	een soort twee half lampenkap 
B: 	twee half lampenkap 
B: 	nou ja ik inzien er niet meteen lampenkapp in 
A: 	oké 
B: 	er zijn in ieder geval één koffiekopje en daar komen zeggen maar net bijna de breedte van het van de bovenkant van het kop komen een een stuk vierkant uit 
A: 	ja 
A: 	ja 
A: 	dat zijn ik met je eens en daar inderdaad de de wat rond vormen boven smal breed onder 
B: 	die zitten link 
A: 	ja en rechts kunnen je hem niet heel goed zien 
B: 	nee daar zitten geloven ik een 
A: 	er zitten nog iets voor 
A: 	een soort de uitsteeksel aan de voorkant zijn ook een beetje driehoekachtig 
B: 	ja 
B: 	ja 
A: 	met nog een lichtblauw pinne 
B: 	ja misschien dat er zelfs drie ding aan die kant uit steken 
A: 	ja 
A: 	dat zijn nummer acht 
B: 	oké 
A: 	oké de broodrooster brievenbus 
B: 	ja 
A: 	met al dan niet lampenkapp 
B: 	duidelijk 
B: 	ja 
B: 	dat zijn letter E 
B: 	de broodrooster 
A: 	ja 
B: 	brievenbus 
A: 	ja hebbes nummer één 
A: 	de broodrooster 
B: 	de broodrooster dat zijn letter E 
B: 	de broodrooster 
A: 	nummer zestien 
A: 	brievenbus 
B: 	de brievenbus ja 
A: 	en broodrooster 
B: 	ja kunnen allebei 
A: 	ja 
B: 	letter O 
