B: 	oké 
B: 	dit zijn een deze hebben als enig een soort plateaut dwars door het midden zeggen maar 
B: 	en het lijken alsof als je een beetje als je een beetje creatief zijn lijken het alsof die zwaaien 
B: 	en er zitten twee steelt zo op bovenop 
A: 	ja met een buisje naar voor die op een plateau 
B: 	ja 
B: 	precies 
A: 	ja dat zijn nummer zes 
B: 	die ja 
A: 	ja dit hier zitten het plateau eigenlijk er midden doorheen 
A: 	en hij hebben twee uitstekeltjes bovenop en een buisje aan de voorkant 
B: 	ja 
B: 	ja 
B: 	ja ik hebben hem 
B: 	C 
B: 	oké dit zijn weer dat plateau dat in het midden er dwars doorheen zitten twee punt bovenop en een soort armp dat zwaaien aan de linkerkant 
A: 	ja met dat buis ervoor 
B: 	ja 
A: 	ja nummer dertien 
A: 	dit zijn hier zitten het plateaut dwars doorheen waar een buis eigenlijk op leunen 
A: 	met twee klein uitsteekseltjes aan de bovenkant 
A: 	link zitten ook nog een uitsteeksel 
B: 	ja ja ja ja ja ja 
B: 	dat zijn J 
B: 	dit zijn dat dat plateau in het midden weer twee punt twee streep bovenop en een zwaaien hand 
A: 	buis buisje erop 
B: 	ja 
A: 	ja dat zijn nummer negen 
A: 	en dit zijn dat plateau wat er eigenlijk midden in zitten waar die waar dat rond staaf op leunen 
B: 	ja dat zijn N 
