A: 	oké ik we noemen dit man met de puntmuts het zijn eigenlijk de enig die zo'n soort van punt op zijn ding hebben en dan hebben die een soort van heel groot dik neus aan de rechts kant zitten 
B: 	ja 
B: 	ja 
A: 	en een soort van ja wat zijn het ? een soort van punt van een potlood wat dan aan de zijkant erin priken of zo 
B: 	ja hebbes 
B: 	ja ja 
B: 	wat hem heel pijn doen dat zijn J 
B: 	dit zijn die een met die puntmuts en dat groot blok 
A: 	ja die staan bij mij sorry 
B: 	moeten jij eerst zeggen welk het zijn denken ik 
A: 	ja ik zien hem dat zijn nummer zes 
A: 	dit zijn die een met de puntmuts en die heel groot neus 
B: 	ja 
A: 	ja 
B: 	E 
B: 	dit zijn die met dat puntmutsje op en die groot neus 
A: 	ja nummer tien 
A: 	dit zijn de puntmuts met de groot neus 
B: 	ja G 
B: 	de puntmuts en de neus 
A: 	ja nummer tien 
