A: 	ja 
A: 	dan weer met die balonnet en dan één groot er in en één groot aan de zijkant en dan zo'n toren van vierkant aan de rechterkant 
B: 	ja 
B: 	ja zijn E 
B: 	deze hebben zegmaar twee van die ballonnet eentjedie boven uitsteekt en één die daar links uit opsteken en rechts hebben hij zo'n blokkentoren 
A: 	en aan de ander kant hebben hij een armp of zo 
B: 	ja 
B: 	ja iets heel geks 
A: 	ja ok elf 
A: 	deze hebben die twee ballonne één op de bovenkant en één aan de zijkant en dan blokkentorentje 
B: 	aan de rechterkant 
A: 	ja 
B: 	ja J 
B: 	twee ballonnet er uit één boven één link en dan blokkentorentje rechts 
B: 	en dat gek vormp aan de achterkant 
A: 	ja negen 
A: 	twee ballonnet één aan de bovenkant één aan de zijkant en dan blokkentorentje aan de zijkant 
B: 	ja B 
B: 	twee ballonnet één boven één link rechts zitten zo'n blokkentoren 
A: 	blokkentoren vier 
