A: 	dit zijn die een met van die twee handvat een beetje uit zo'n fiets 
A: 	met een fietsmand 
A: 	en dan zo'n balk erachter 
A: 	dus het zijn gewoon dat kop met twee van die ding aan de zijkant er zitten een bal op 
B: 	er zitten een bal op 
A: 	er liggen een bal op 
B: 	oké 
A: 	en dan een balk 
B: 	die 
B: 	ja ja D 
B: 	one volgens mij zijn dit degeen die jij net 
B: 	fietsmand noemen 
B: 	met een bal erop 
A: 	en twee van die 
B: 	ja ja dun handvat 
A: 	ja precies 
B: 	en een balk 
A: 	en een balk die er zo zullen ik maar zeggen tegenaan 
B: 	ja een verticaal balk 
A: 	dat zijn vijftien 
A: 	dat zijn dat fietsmand weer met die bal erop en die twee 
B: 	ja 
B: 	L 
B: 	het fietsmand 
B: 	met de bal 
A: 	even kijken waar staan 
A: 	dat zijn zes 
A: 	dat fietsmand weer 
B: 	fietsmand 
B: 	J 
B: 	met de bal erin 
A: 	ja 
B: 	het fietsmand met de bal 
A: 	nummer drie 
