B: 	Alright ja dit zijn een soort er zitten een soort uitklaptafelt wat vast zitten plakken aan een aan een mok bovenin 
A: 	ja 
B: 	daar staan een soort komme op 
A: 	oké dat zijn nummer zestien 
A: 	dit zijn de mok met het uitklaptafelt met het bak erop 
B: 	ah ja P 
B: 	oké dit zijn het uitklaptafelt met het bak erbovenop 
A: 	ja veertien 
A: 	dit zijn die met het uitklaptafelt 
A: 	en dat bak 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn het uitklaptafelt op de mok met het kop met het bak bovenop 
A: 	ja 
A: 	nummer tien 
A: 	en dit zijn het uitklaptafelt 
B: 	d 
