A: 	die van mij zijn een soort van aan de linkerkant lopen die eigenlijk een beetje bol maar die hebben een soort inkeping zo 
B: 	ja 
A: 	en het zijn eigenlijk een rond en je zien dan twee schaduw daarbovenop opsteken er iets uit dat zijn een soort ja ja soort schoorsteenachtig weten je wel die smal aflooppen en dan rechts een plateau dat rond zijn 
B: 	spijker 
B: 	ja okee 
B: 	ja dat zijn d 
A: 	okee 
A: 	nu gaan gaan het als een trein 
B: 	dit zijn diegene met dat gehoekte handvat en de spijker schoorsteen in dat handvat 
A: 	ja ja met dat plateau met dat rond 
B: 	yes yes 
A: 	zestien 
A: 	ik hebben nu diegene met die schoorsteen die aflooppen met dat plateau met dat rond en dat die vorm met die inkeping 
B: 	yes dat zijn p 
B: 	deze hebben dat handvat met de inkeping en de schoorsteen 
A: 	de 
B: 	en het het cirkelplateau 
A: 	ja 
A: 	nummer zes 
A: 	dit zijn met het schoorsteen en de inkeping en de en het rond plateau rechts 
B: 	dat zijn p 
B: 	dit zijn de ingekeept handvat de schoorsteen en het plateau 
A: 	met de schoorsteen 
A: 	acht 
