A: 	even kijken ik hebben nou ook een mok met een soort van lepeltje erin alleen lijken het lepeltje aan de achterkant te zitten 
A: 	en aan de voorkant zien je zo'n bol met zo'n staaf erdoorheen 
A: 	en aan de aan de rechterkant nog een soort van muntstuk 
B: 	ja 
A: 	aan eraan vast 
B: 	dat zijn bij mij F 
A: 	oké 
B: 	dit vinden ik de indiaan die een neusring hebben zeggen maar zo'n die hebben zo'n bot door zijn neus heen dat zijn dan dat ei hier 
B: 	zitten zo'n klein klep op aan de zijkant en die hebben een klein veer wat uit zijn tooi komen 
A: 	oké ja 
A: 	dat zijn dus dat ei met die balk erdoorheen en dan nog aan de rechterkant zo'n soort van muntje 
B: 	ja 
B: 	ik vinden het een soort van indiaan 
A: 	ja 
B: 	met een met een veer op zijn tooi zeggen maar ook nog 
A: 	oké nou dan zijn dat de indiaan vanaf nu 
A: 	dat zijn nummer vijf 
A: 	dit zijn die ik net bedoelen dit zijn ook met een ei aan de voorkant met een balk erdoorheen 
B: 	dit zijn de indiaan zeggen maar met dat ding door de neus 
A: 	ja 
B: 	en zo'n klein veer 
A: 	ja en dan nog dat rondig 
B: 	zo'n plaat ertegenaan 
A: 	plaat ja dat 
B: 	ja dat zijn bij mij A 
A: 	oké de indiaan 
A: 	ja 
B: 	dit zijn de indiaan met het veer ei met dat neusring en dan dat plaat 
A: 	ja 
A: 	nummer vijf 
A: 	dit zijn volgens mij noemen jij hem de indiaan 
B: 	indiaan 
A: 	met dat lepel bovenin dat ei aan de voorkant balk door dat ei heen 
B: 	ja ja 
B: 	dat zijn bij mij H 
B: 	dit zijn de indiaan 
A: 	de indiaan 
B: 	in dat driehoek zijn die staan bij mij in dat driehoek 
A: 	nee bij mij niet 
A: 	indiaan bedoelen jij dat lepel erin en dan die ei aan de voorkant 
B: 	doorboren met dat ding ja 
A: 	doorboren ja 
A: 	hij zijn bij mij niet het bij mij hebben je dat driehoek ik zullen eerst zeggen zijn nummer vijftien 
