A: 	oké dit vinden ik wel met de dansen been ik noemen het een Pinokkiokopje met dansen been 
A: 	dus het zijn echt een kop met een lang neus als het zijn en achter op het hoofd zitten ook nog één of ander gek figuur 
A: 	maar het hebben zeggen maar één been aan de onderkant en één aan de zijkant en die vinden ik het lijken of ze aan het dansen zijn 
B: 	hebben die een punthoofd 
A: 	nee 
B: 	oké 
A: 	echt een lang hexagonfiguur aan de als neus zeggen maar of aan de voorkant 
A: 	en dan één zeggen maar been aan de onderkant 
A: 	en één zo'n zelfde been aan de rechterkant 
A: 	volgens mij zijn er zijn er daar maar één van 
A: 	en dan bovenop zijn zijn het zeggen maar twee dun 
A: 	vierkant naast naast elkaar met aan de beide kant zo'n uitsteeksel 
B: 	ja ja ik weten welk het zijn 
B: 	dat zijn M bij mij 
B: 	dit zijn die Pinokkio van jou 
A: 	die dansen Pinokkio 
B: 	ja 
A: 	oké dat zijn nummer negen 
A: 	dit zijn dansen Pinokkio maar zijn been zijn een beetje afgehakt 
A: 	maar die 
B: 	ja ja 
B: 	dat zijn H 
B: 	dit zijn Pinokkio 
A: 	oké dat zijn elf 
A: 	dit zijn dansen Pinokkio 
B: 	ja dat zijn D 
B: 	de Pinokkio 
A: 	dat zijn veertien 
