A: 	ok dit doen me een beetje denken aan een aan een kip of het twitter vogel ? omdat hij zo twee 
A: 	uitstekels hebben en dat vinden ik een beetje een snavel en dan zo'n soort driehoek op zijn hoofd en dan zo'n dinge wat dan een vleugel zijn en een staart aan de onderkant 
B: 	even kijken hoor 
A: 	zeggen maar aan de rechterkant hebben je twee rechthoekig balkjes direct onder elkaar 
B: 	o 
B: 	ja die ja ja dat o ik snapan je ja ja dat zijn bij mij ja I 
A: 	bij mij negen 
B: 	ok 
B: 	o dit zijn het het twitter icoon mij doen het beetje denken aan een koffiezetapparaat maar het twitter icoon die vinden ik iets veel er op lijken ja 
A: 	o 
A: 	ja zijn twee bij mij 
B: 	ok bij mij L 
A: 	ok 
A: 	o dit zijn het twitter vogel 
B: 	o die zijn bij mij M 
A: 	vijf 
B: 	ok 
B: 	het twitter poppe 
A: 	twitter poppe ja negen bij mij 
A: 	dit zijn het twitter poppe 
B: 	even kijken waar die zijn o hier F 
A: 	elf 
B: 	twitter poppe 
A: 	ja zijn zes bij mij 
B: 	ok bij mij H 
