A: 	precies diezelfde 
A: 	volgens mij als degeen die ik nu moeten omschrijven 
B: 	oké 
B: 	dus weer met die schijf erachter en dat ding erdoorheen 
A: 	met de schijf erdoor ja door het rond heen en dan een soort van ja veer of lepeltje Erboven 
B: 	ja 
B: 	oké 
B: 	G 
B: 	dit zijn de neus met de piercing 
A: 	ja even kijken waar die in principe ja dat zijn vijf 
A: 	dit zijn degeen met de piercing erdoorheen 
B: 	oké 
B: 	A 
B: 	de piercing 
A: 	de piercing 
B: 	neus met de piercing 
A: 	vijf 
A: 	dit zijn met de piercing 
B: 	H 
B: 	een neus met de piercing 
A: 	ja 
A: 	vijftien 
