A: 	bij mij zijn het zo'n kop en aan de rechterkant zitten zo'n egaaltek van met wiskunde weten je 
A: 	en 
B: 	het egaalteken kennen ik niet 
B: 	sorry 
A: 	= ja de ISteken 
B: 	= ja ja ja okee ja dan weten ik hem denken ik al 
A: 	en hij hebben daarnaast zo'n hoedjeachtig iets 
B: 	ja okee dan weten ik hem al dat zijn nummer getal letter p bij mij 
B: 	deze hebben twee dezelfde arm aan de rechterkant 
B: 	zijn rechthoek 
B: 	en een een puntmuts maar de punt zijn er niet zeggen maar die zijn er afhakken 
A: 	dat zijn de egaal of ISdinges ISteken van wiskunde 
B: 	ja ja 
B: 	ja die 
A: 	ja dat zijn nummer zeven 
A: 	deze zijn met het ISteken 
A: 	en de het klein hoed zonder punt 
B: 	ja f 
B: 	deze zijn met het ISteken en de afgekapte puntmuts 
A: 	ja dat zijn nummer zestien 
A: 	dit zijn met het ISteken aan die kant en een plathoed 
B: 	ja 
B: 	dat zijn f 
B: 	f sorry harder 
B: 	dit zijn het ISteken en de afgekapte puntmuts 
A: 	dat zijn nummer drie 
