A: 	deze hebben twee keer dezelfde vorm waarvan één zo staan en één zo en dit zijn een beetje zo'n 
B: 	ah 
B: 	lijken op een deegroller 
A: 	ja dat ja precies en dan hebben je nog één zo'n Minecraftblokje eraan vasthangen en nog een uitlaat 
B: 	ja 
B: 	ja 
B: 	ja ja dat zijn E 
B: 	Minecraftblok oké 
A: 	ja daar lijken het op 
B: 	ja 
B: 	dit zijn die een met deegrollerhandvat 
A: 	ja met dat een schuin dak zo 
A: 	bedoelen je 
B: 	nee niet niet het schuin dak 
A: 	wachten je bedoelen die een met die minecraft en die uitlaat 
B: 	ja 
B: 	ja 
B: 	minecraftuitlaat 
A: 	ja 
B: 	ja 
A: 	nummer elf 
A: 	dit zijn die met die deegroller er 
B: 	ah J 
B: 	de deegroller 
A: 	even zoeken 
A: 	ja dat zijn negen 
B: 	fijn dat sommig zo snel gaan 
B: 	fijn dat sommig zo snel gaan 
A: 	ja als je gewoon weten welk welk je hebben 
A: 	die deegroller 
B: 	deegroller 
B: 	B 
B: 	de deegroller 
A: 	ja nummer vier 
