B: 	hier zitten een vierkant plaat tegen het kop aan drukken 
B: 	en er steken twee van die kubus die groot worden aan de linkerkant uit en aan de bovenkant zitten ook nog een plaat met een cirkel erop 
A: 	ja ja ja ja ja 
A: 	twee zijn dat 
A: 	dit zijn met zo'n vierkant er zeggen maar er voor op plakken en dan weer twee van die kubus die groot worden en zo'n paddenstoel aan de bovenkant eruit 
B: 	ja dat zijn G 
B: 	deze hebben die vierkant plaat er zo op plakken en de groot worden kubus aan de linkerkant 
B: 	en aan de bovenkant 
A: 	negen zijn dat 
A: 	dit zijn met dat vierkant erop plakken 
A: 	en twee groot wordende de kubus aan de zijkant en een paddenstoel eruit 
B: 	ja dat zijn D 
B: 	bij deze zitten weer dat vierkant ertegenaan plakken 
B: 	en twee van die kubus aan de groot worden kubus aan de linkerkant 
B: 	en nog zo'n kegel eruit steken 
A: 	ja ik zien hem 
A: 	dat zijn één 
A: 	dit zijn met dat vierkant vlak erop plakken en die twee kubus die er steeds groot worden 
B: 	dat zijn B 
