B: 	oké 
A: 	oké 
A: 	jij hebben het plaat 
B: 	ja 
A: 	ja 
B: 	ja ik hebben dus een rood vierkant 
B: 	het zijn het plaat zeggen maar dat ja het lijken eigenlijk een soort van op een beker en dan opsteken er een 
B: 	pollepel soort van uit zeggen maar 
B: 	en dan hebben je aan de linkerkant ook zo'n staaf uitsteken en ook nog een rond er aan de achterkant 
B: 	erbij zitten 
A: 	oké zijn het die een met dat soort rond aan de achterkant 
B: 	ja 
A: 	en dan aan die kant 
B: 	en dan aan de rechterkant inderdaad zo'n een ding wat uitsteken 
A: 	oké dan 
A: 	zo'n zo'n lepel en dan aan de linkerkant zo'n staaf 
B: 	ja een soort van 
B: 	ja 
A: 	oké dan zijn het nummer dertien 
A: 	drukken op het geel knopje als het goed zijn 
A: 	ik hebben er nu één met zo'n rond erachter 
A: 	en zo'n staaf aan de linkerkant en zo'n soort roerstaafje of hoe je het ook willen noemen aan de rechterkant 
B: 	ja 
B: 	en dan daaronder ook nog een soort van 
A: 	ja zo'n soort plateauachtig iets 
B: 	ja 
B: 	oké dat zijn bij mij zijn dat O 
A: 	oké 
A: 	ja nieuw 
B: 	nou hebben je weer die een met zeggen maar weer die aan de rechterkant weer zo'n pollepel zeggen maar die uitsteken 
B: 	aan de bovenkant 
B: 	en dan 
A: 	zo'n bolle ervoor 
B: 	een bolle erachter 
A: 	even kijken 
B: 	je hebben zo'n met zo'n half rond erachter zeggen maar en dan 
A: 	ja 
A: 	en dan aan de linkerkant nog zo'n staaf 
B: 	ja 
A: 	zo'n verhoginkje 
B: 	ja 
A: 	dat zijn bij mij nummer acht 
A: 	ik hebben nu die een met dat die soort ronde schijf erachter 
B: 	nee 
A: 	een soort ja hij staan net iets op die half verhoging zeggen maar 
B: 	ja en die 
A: 	en zo'n staaf aan de rechterkant en zo'n ding aan de bovenkant 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	dan hebben we weer die een met dat met dat rond zeggen maar aan de achterkant en dan 
B: 	rechts bovenin die pollepel zeggen maar weer die uitsteken en 
A: 	ja die net iets hoog bekendstaan ook toch 
B: 	ja 
A: 	nummer zeven zijn dat bij mij 
A: 	ik hebben die een die op een heel raar verhoging staan dat rond erachter en 
B: 	oké 
A: 	oké 
A: 	het volgen deel 
A: 	ik denken dat we klaar zijn 
