A: 	ok deze vinden ik denken ik wel moeilijk uit te uitleggen maar het zijn een gewoon die mok weten je wel en dan zijn hij aan vier verschillend kant zijn er iets in steken 
B: 	hebben hij een soort slurf aan de onderkant ? en aan de 
A: 	dus 
A: 	nee aan de onderkant zitten niks 
B: 	o 
A: 	als in er zitten vanaf 
B: 	o er zitten een soort soort soort ovalig ding zitten een vierkant er zitten een vierkant ding naar beetje rechts toe en dan en een soort plat rond o 
A: 	ja er zitten twee ovaal ding in 
A: 	nee 
B: 	misschien niet 
A: 	nee er zitten zo'n vierkant weten je wel zo'n en 
B: 	zitten er een ei op 
A: 	nee geen ei 
A: 	geen ei even kijken hoor 
B: 	hebben hij een punthoofd 
A: 	punthoofd het zijn ja het zijn net je kunnen het zien als pinoccio of zo of een 
B: 	okan maar hebben hij hebben hij een soort soort vierkant dat er aan de bovenkant zo ingestoken zijn 
A: 	dit zijn echt 
A: 	boven zijn geen vierkant boven zijn wel iets ronds een rond uitsteeksel boven 
B: 	o 
B: 	een een soort trapezium vormig ei 
A: 	nee nee als in gewoon wat zullen het zijn gewoon een ja 
A: 	gewoon een cilinder alleen dan met een uitlopen ja gewoon een rondachtig een heel uitgerekt rond zeggen maar 
B: 	vier 
B: 	even kijken zitten er een soort istek aan de zijkant 
A: 	ok en daarvan zitten er ok ik zullen je wachten boven 
A: 	nee bovenin zitten hetzelfde als iets wat aan de linkerkant daarvan staan 
A: 	dus het zijn een mok en bovenin zitten iets steken en dat zitten aan de linkerkant er ook in steken 
B: 	ja en die hebben een soort vierkant een soort vierkant spijker aan de rechterkant en zitten een soort slap armp 
A: 	ja 
A: 	spijker en dan daarachter zitten zo'n knokkel ding 
A: 	ja precies dat zijn hem dat zijn hem 
B: 	okan ja ik hebben deze één in mijn hoofd beetje omschrijven als een soort robot die met zijn rug naar je toe staan ja 
A: 	jajaja ik denken een beetje clownachtig hoofd maar deze vinden ik wel lastig om te beschrijven op zich 
B: 	ok dat zijn E 
B: 	ok hoe omschrijven we deze deze vinden jij heel erg moeilijk ik omschrijven die als een robo 
B: 	er zitten hij hebben een soort slap armp aan de achterkant zitten en vier ding waarvan de die aan de bovenkant en aan de voor voorkant hetzelfde zijn 
A: 	met die vier vier met die vier 
A: 	ja ja hetzelfde zijn 
A: 	ja ok elf 
A: 	o dat zijn die een met die die waar ik niet uit terechtkomen weten je wel met die twee dezelfde ding en met die wonkel arm 
B: 	de met het met met het soort ei bovenop 
A: 	met dat weten je nog daar hebben ik toen moeite mee 
A: 	nee geen ei met dat heel uitgerekken ei misschien weten je wel misschien net zoals de waar je een schroevendraaier mee vasthouden weten je wel 
B: 	o je bedoelen je bedoelen dat dat wat welk ik telkens robot noemen of nou ja inderdaad met zo'n slap armp achterop 
A: 	Jajajaja 
B: 	o jajaja J 
B: 	het moeilijk ding 
A: 	dat zijn wel goed omschrijving ja negen 
B: 	met slapap armp 
A: 	die robot hoe noemen we die ook alweer gewoon moeilijk te beschrijven 
B: 	ja moeilijk te omschrijven B 
B: 	moeilijk robo 
A: 	ok 
A: 	vier 
