A: 	ja dit zijn ik vinden het een beetje op een gieter lijken dat kop en aan de een kant zo'n staaf met een bolle aan de zijkant 
A: 	en aan de ander kant ook datzelfde stuk staaf met dat bolle 
A: 	en aan de achterkant nog een soort van ja schuin vierkant met daaronder nog een staaf 
B: 	ja 
B: 	zijn zeggen maar alsof dat ding erdoorheen gaan 
A: 	ja beetje wel 
B: 	oké 
A: 	ja vooral die twee ja soort van plat bolletjes aan de zijkant 
B: 	ja 
B: 	oké 
B: 	dat zijn K bij mij 
B: 	dit zijn die met soort knuppel door het midden 
B: 	met die rond dinge aan de buitenkant 
A: 	ja 
B: 	en dan daarachter soort van plaat 
B: 	met een dinge eraan 
A: 	ja ja 
A: 	dat zijn negen 
A: 	ja dit zijn ja die gek gieter weer met die staaf erdoorheen aan de achterkant met aan de beide kant die balle 
A: 	en dan daarachter weer dat schuin plateau met dat haak er balk eronder 
B: 	ja 
B: 	ja 
B: 	dat zijn F 
B: 	dit zijn die die jij op een gieter vinden lijken volgens mij 
B: 	of met dat ding erdoorheen 
A: 	ja 
B: 	en die bollet aan de zijkant 
A: 	ja dat zijn drie 
A: 	dit zijn ja nog steeds mijn gieter 
A: 	met het staaf erdoorheen met die bollet aan de zijkant 
B: 	ja dat zijn L 
B: 	dit zijn die gieter 
A: 	ja dat zijn vijf 
