A: 	oké bij mij hebben ik er één met een een vierkantje het lijken een beetje op een poppe wat een soort van lans vasthouden met een soort van zuignap erop een stok aan de rechts 
A: 	kant hebben die die 
A: 	er zitten 
B: 	met een met een vierkantje zeggen je 
A: 	ja ik waar mijn vierkant omheen zitten 
B: 	als een soort rok 
A: 	nee nee nee we hebben de basisvorm dat zijn een soort van kop 
B: 	ja 
A: 	maar aan de bovenkant komen er inderdaad weer een soort van lepeltje uit zoals jij dat net omschrijven 
B: 	ja 
A: 	en dan zitten er aan de voorkant aan de rechts zijkant zitten eerst een soort van eivorm met daardoorheen een vierkant staaf met daaromheen met daar aan het uiteinde weer een soort van cirkelt 
A: 	voor mij lijken het een beetje op zo'n zuignap net als bij zo'n pijl en boog dinge die je zo weg kunnen schieten vroeg 
B: 	ik snapen wat je ja 
A: 	snapan je wat ik daarmee bedoelen te zeggen 
B: 	ja 
B: 	ja ik zien hem ja ik vinden hem dat dat iemand die aan het gewichtheffen zijn 
A: 	snapan je wat ik bedoelen 
B: 	maar ik denken dat ja 
A: 	ja ja of ik denken een soort van ridder die met een lans aan het rennen zijn of zo 
B: 	ja precies ja oké ik hebben hem 
A: 	ja 
B: 	dat zijn F 
B: 	dit zijn die een waarvan jij zeggen hij gaan speerwerpen geloven ik 
A: 	ja zo'n zo'n ridder zijn het met die zuignap ja ik zien hem 
B: 	met dat rond met zuignap 
B: 	die zuignap 
A: 	nummer vijf 
A: 	dit zijn die een met die zuignap lans 
A: 	zeggen maar die ridder die zo gaan rennen met die lepel die er ook in staat volgens jou 
B: 	ja 
B: 	A 
B: 	dit zijn die met de zuignap 
A: 	yes even kijken 
A: 	nummer vijf 
A: 	degeen met de zuignap 
A: 	aan de die die vastheeft zeggen maar 
B: 	ja daar 
B: 	F 
B: 	nee sorry H 
B: 	de zuignap 
A: 	waar zijn die 
A: 	vijftien 
