A: 	deze hebben deze mok hebben rechts en onder hebben hij een soort van 90 graad uitsteeksel 
A: 	die zo krom lopen 
A: 	en bovenop hebben hij een een ruit met twee uitsteeksel aan de zijkant 
B: 	ja dat zijn n 
B: 	deze hebben zo'n vlak met twee oort 
A: 	ja drie 
A: 	ja een ruit bovenop achter en de twee verrekijker aan de zijkant 
A: 	piratenverrekijker 
B: 	b 
B: 	deze hebben weer dat vlak zo met die twee verrekijker aan de beide kant 
A: 	piratenverrekijker 
A: 	vijf 
A: 	een ruitje bovenop en piratenverrekijker link links en rechts 
B: 	okee dat zijn e 
B: 	de piratenverrekijker op het vlak 
A: 	negen 
