B: 	oké 
A: 	deze hebben twee plat uitsteeksel met dezelfde vorm aan de rechterkant 
B: 	ja 
A: 	en bovenop zitten iets wat ja driehoekig zijn maar afronden zeggen 
B: 	ja 
B: 	oké dan zijn het I 
B: 	oké dit zijn diegene met zo'n istek aan de zijkant eruit en een driehoek erop die aan de bovenkant plat zijn 
A: 	ja dat zijn twee 
A: 	dit zijn die met dat istek en die afgeplaten driehoek 
B: 	ja ja 
B: 	dat zijn M 
B: 	ik hebben degeen met een isteken eraan 
B: 	en zo die afgeplatte driehoek aan de bovenkant 
A: 	ja 
A: 	dat zijn negen 
A: 	dit zijn met dat istek en die afgeplaten driehoek 
B: 	ja ja 
B: 	even zoeken waar zijn die ? ja 
B: 	dat zijn F 
B: 	ik hebben die met het isteken en de afplatten driehoek 
A: 	dat zijn zes 
