A: 	ja ik noemen deze het kanon omdat het een soort van het zijn een soort kop en er gaan iets aan de ander kant in en er komen ook aan de ander kant weer uit 
B: 	met een soort van spijker 
A: 	met een soort van afdak aan de ander ja die die soort van spijker die er helemaal doorheen staan met een soort van raar afdak aan de linkerkant 
B: 	ik noemen dit 
B: 	ja ik zijn het zeggen maar een soort van een ja een spijker wat in zo'n vormp worden slaan of niet 
A: 	ja 
A: 	en dan komen die aan de ander kant weer uit 
B: 	met een ronde rond plateau 
A: 	een rond plateau 
B: 	nee dan hebben we het niet hetzelfde 
A: 	ik bedoelen bij mij zijn het een kop 
B: 	ja 
A: 	net zoals altijd 
A: 	en daar komen aan de linkerkant een soort van spijker in 
B: 	ja 
A: 	die aan de rechterkant er weer uit gaan 
A: 	en daarboven steken boven dat opsteken nog een soort van raar afdak uit zo'n scheef ding wat naar boven wijzen 
B: 	er er staan iets 
B: 	hebben het ah wachten even ik denken dat het de ander zijn 
B: 	zijn het een beetje stompe zijkant zeggen maar met een bol 
A: 	ja van die ronde van die rond halfron zijkant 
B: 	ja 
B: 	dan weten ik denken ik wel met een met een vierkant vlak wat er zo op staat 
A: 	ja zo'n raar een soort van ja ik noemen het afdak of zo het zijn een beetje 
B: 	ja 
A: 	ja 
A: 	het zijn een beetje een raar figuur wat ik niet echt heel goed snapen 
B: 	ja je noemen het de gieter toch net 
A: 	nee die noemen ik niet de gieter 
A: 	die nee de de deze noemen ik niet de gieter 
A: 	hebben we dan echt wel dezelfde 
A: 	er gaan aan de een kant een halfrond ding in 
B: 	ja en aan de ander kant eigenlijk het dubbel ervan anderhalf 
A: 	ja 
A: 	ja ongeveer ja en die die die en die ding zijn vrij rond en er zitten een soort van ja rond op 
B: 	ja 
B: 	een soort van knop op de staaf 
A: 	ja ja dus dan hebben we het wel hetzelfde ding want volgens mij hebben geen enkel ander dat 
B: 	ja 
A: 	oké 
B: 	nee dan hebben we het over K 
B: 	dit zijn zeggen maar met dat afdak wat ik de gieter vinden de de statiev met die knop aan de zijkant 
A: 	ja en dat afdak ja 
B: 	ja 
A: 	dat zijn Numero negen 
A: 	nou dit zijn mijn kanon met het raar afdak 
B: 	ik weten welk je bedoelen 
B: 	ja dat worden dan F 
B: 	dit zijn het afdak 
A: 	het afdak ik zoeken hem even op 
B: 	we hebben weer ander ronde hoelang ? duren zes ronde toch 
A: 	dat weten ik niet ik zoeken hem even op 
A: 	waar zijn dat ding 
A: 	ja Numero drie 
A: 	het kanon met af afdak 
B: 	ja dan gaan het om L 
B: 	dit gaan om het afdak met de kno 
A: 	ja ik zoeken hem even op 
A: 	dat zijn Numero vijf 
