A: 	ik zijn nu 
A: 	oké ik natuurlijk een bekervormpje natuurlijk en dan aan de voorkant zitten er een een bal 
B: 	ja 
A: 	met een balk erdoorheen 
A: 	met aan de uiteinde aan de rechterkant een cirkel 
B: 	oké F 
A: 	jij drukken 
B: 	goed 
B: 	de bol aan de voorkant waar die staaf doorheen gaan met een cirkel eraan 
A: 	ja dat zijn vijf 
A: 	ja ik er zitten ik hebben een bal maar er zitten een balk doorheen 
A: 	bij dit kop 
B: 	oké en een cirkel 
A: 	ja 
B: 	ja 
B: 	dat zijn A 
B: 	dan zitten die wel goed 
B: 	oké dit zijn het kop met de knobbel aan de voorkant er gaan een staaf doorheen met die cirkel eraan 
A: 	ah ja 
A: 	dat zijn vijf 
A: 	oké ik hebben een een bol en er zitten een staaf doorheen 
A: 	met een cirkel eraan vast aan de rechterkant 
B: 	ja 
B: 	dat zijn H 
B: 	zijn die met die knobbel met de staaf waar het cirkel aan vastzit 
A: 	knobbel met de staaf waar het cirkel aan vastzit 
B: 	een 
A: 	knobbel met de staaf 
B: 	ja er zijn een bolle aan de voorkant daar gaan een staaf doorheen en daar zitten een cirkel aan 
A: 	die ja 
A: 	ja dat zijn vijftien 
B: 	ik noemen dat zelf de slinger 
A: 	leuk 
A: 	een deel van mijn school heten zo 
B: 	echt 
A: 	ja 
B: 	ja 
