B: 	ok het plaat hebben een een vlak door de basis laten maar zeggen en daarboven 
A: 	met die bollet drie bollet aan de zijkant of zijn dit een ander o ok nee dan zeggen ik niks 
B: 	nee nee 
B: 	een ander en daar bovenop zitten nog twee spriet en een soort van neus vooraan en dan aan de linkerkant zitten nog een haak 
A: 	ja ik denken dat ik ja ik denken dat ik weten welk je bedoelen 
A: 	ja 
A: 	ja 
A: 	zitten zo'n 
A: 	ja dat zijn nummer zes bij mij 
B: 	ja 
A: 	dus dan zes en dan op geel toch ja 
B: 	ja 
A: 	ja dit zijn die met dat vlak dat er doorheen snijden en die soort twee dinge er bovenop met die 
A: 	glijbaan of die slurf neus hoe je het ook willen noemen die er uitkomen en dan zo'n haak die er uit komen 
B: 	en die haak 
B: 	ja dat zijn voor mij C 
B: 	dit zijn met het 
B: 	zo'n vlak door de beker heen met die twee dinget bovenop zijn kop en één haak en één slurf 
A: 	ja 
A: 	ja jajaja dat zijn nummer dertien 
A: 	dit zijn die met die met dat plateau erdoor met die twee ding er bovenop en die 
A: 	neus of glijbaan en zo'n haak aan de zijkant 
B: 	ja dat zijn voor mij J 
A: 	J ok 
B: 	dit zijn met het blad door het kop heen die twee staaf bovenop die slurf en een haak 
A: 	en een hoek dat zijn nummer negen 
A: 	dit zijn met dat vlak er doorheen met die twee 
A: 	punt er bovenop en die glijbaan Slash slurf die er uit komen en die haak die er rechts uit komen links 
B: 	vlak erdoor 
B: 	ja dat zijn voor mij N 
