A: 	deze hebben weer een uitsteeksel boven een klein 
A: 	en ver hebben die een soort bolletje waar een staaf doorheen zitten 
B: 	en zitten er aan het einde van die staaf weer een cirkel 
A: 	ja 
B: 	oké dan zijn het F 
B: 	deze hebben ook die bol met die staaf erdoorheen met een soort cirkel aan het einde 
A: 	dinge aan het einde 
B: 	ja 
A: 	dat zijn bij mij vijf 
A: 	dit zijn die een met het bolle aan de rechterkant met die staaf erdoorheen en dan dat schijf aan de uiteinde 
B: 	dat zijn A 
B: 	one die bol met die staaf erdoorheen met die schijf aan het einde 
A: 	ja dat zijn bij mij vijf 
A: 	deze hebben weer aan de zijkant de bol met de staaf erdoorheen 
A: 	met dat ding aan het uiteinde 
B: 	dat zijn H 
B: 	dit zijn die met die bol met dat staaf erdoorheen en die cirkel aan het einde 
A: 	ja 
A: 	even wachten dat zijn nummer vijftien 
