A: 	oké 
A: 	aan helemaal aan het midden van het kop hebben je best wel langvormig ovaal 
A: 	dus dat zijn het enig wat er bovenop zitten 
A: 	dan hebben je dat zelfde vormp zitten ook aan de linkerkant 
A: 	en aan de rechterkant zitten verschillend blok tegen elkaar aan 
B: 	ja 
B: 	dat weten ik dan zijn het L 
A: 	dat zullen heel goed kunnen 
B: 	hierbij zien ik een ook zo'n ovaal omhoog gaan 
B: 	op het kop 
A: 	ja 
B: 	aan de linkerkant ook weer zo'n groot ovaal 
B: 	en ook zo'n uitstulpsel die naar achter gaan en aan de rechterkant drie blok 
A: 	ah met veel blok 
A: 	ja 
B: 	ja 
A: 	dat zijn nummer twee 
A: 	dan weten we dat nu 
B: 	oké 
A: 	een kop weer natuurlijk 
A: 	en dan hebben je daar bovenkant een ovaal uittulpsel echt in het midden 
A: 	en dan aan de rechterkant hebben je allemaal vierkant die steeds groot worden 
A: 	en aan de linkerkant hebben je eigenlijk ook een ovaal en nog iets wat naar achter lopen 
B: 	ja dat zijn K 
B: 	oké deze hebben weer zo'n ovaalvorm 
B: 	aan de bovenkant 
B: 	en aan de linkerkant ook , die even groot zijn 
B: 	met een uitstulpsel die naar achter gaan en een schroef aan de rechterkant 
A: 	even kijken ik weten wat je bedoelen maar 
A: 	waar staan hij 
A: 	ja 
A: 	nummer vijf 
A: 	deze hebben rechtop op het kop een ovaal vorm , aan de rechterkant een soort die blok die steeds groot worden , en links hebben hij ook nog twee uitstulpsels 
B: 	ja B 
B: 	de ovaal vorm op het kop die net en aan de zijkant zijn hij net zo groot 
A: 	kijken ovaal vorm op het kop 
B: 	en ook nog een schroef aan de rechterkant 
A: 	even kijken één schroef aan de , ja , nummer vier 
