A: 	nee dat zijn geel volgens mij 
B: 	nee ? 
B: 	oké nou we gaan gewoon ver 
A: 	ja we gaan inderdaad gewoon ver 
B: 	nou dit lijken echt zeggen maar een poppe met zo'n groot neus er zitten zo'n voorop zo'n groot bol cirkel 
A: 	ja 
B: 	alleen dan zonder piercing erdoorheen dus boven een dinge 
A: 	ja 
A: 	ja 
A: 	ik hebben hem al 
A: 	veertien 
A: 	even kijken dit deze hebben zo'n neus 
A: 	en een heel klein sprie naar links zijn dat en twee ja één soort kegel een dubbel kegel en één 
A: 	balk omhoog 
A: 	heel klein compact 
A: 	met zo'n bol neus voorop 
A: 	eigenlijk zijn het de bol neus zonder zonder piercing eigenlijk 
B: 	ja een bol een bol neus voorop 
A: 	de bol neus zonder piercing 
B: 	de bol neus zonder piercing 
B: 	met boven een balk aan de linkerkant een balk 
A: 	ja 
B: 	oké dat zijn N 
B: 	een bol neus 
B: 	bovenop een soort kegel 
B: 	en een rechthoek en aan de ander kant een soort ook iets 
A: 	ja 
A: 	negen 
A: 	dit zijn de piercing de neus zonder piercing 
B: 	ja de neus zonder piercing 
A: 	ja 
A: 	neus zonder piercing 
B: 	neus zonder piercing met hier en hier 
A: 	ja 
B: 	dat zijn G 
B: 	dit zijn de neus zonder piercing met boven een dinge aan de zijkant 
A: 	ja 
A: 	vijf 
A: 	zonder neus piercing zonder neus 
B: 	piercing zonder neus dat zijn J 
