B: 	oké ik noemen het zelf het kop met een schap en het bak 
B: 	er zijn één er zijn één kop waar een soort tafel aan vasthangen 
A: 	ja ik hebben hem 
A: 	ja 
B: 	en er staan een kop op 
A: 	ja ja dat zijn zestien 
A: 	ja het zijn een mok met een tafel met een beker erop 
A: 	dus het tafel erop 
B: 	ja dat bak 
A: 	ja 
B: 	ja 
B: 	oké dat zijn P 
A: 	ja 
B: 	prima 
B: 	het zijn dat tafel waar het bak op staan 
A: 	ja 
A: 	ja die zijn dat zijn elf 
A: 	oké tafel met mokje of kop bakje erop 
B: 	ja dat zijn N 
B: 	dit zijn het tafel met het bak 
A: 	ja 
A: 	tafel met bakje waar zijn die nou 
A: 	ja 
A: 	dat zijn tien 
A: 	oké 
A: 	tafel met het bak kop mokje erop 
B: 	ja dat zijn D 
