B: 	dit zijn zeggen maar dat komme er zitten een heel klein stuk aan de bovenkant en er zitten zeggen maar een tafel maar die zitten heel hoog 
A: 	ja 
B: 	en er zitten daar dan weer een bak op 
A: 	ja 
B: 	zeggen maar zo'n bloempot en daar zitten daarboven dan zo'n balkonhouderding 
A: 	ja 
A: 	ja 
A: 	ik met twee hendel wat je eigenlijk zo op kunnen pakken 
B: 	ja 
A: 	ja 
A: 	ik denken een soort kruiwag of zo idee 
B: 	ja dat zijn hem 
A: 	dat zijn bij mij en aan de achterkant hebben je nog een klein pluk zitten 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer zestien bij mij 
A: 	ja dit zijn weer een beetje die kruiwag die je eigenlijk zo op kunnen pakken 
A: 	dus dat die basisvorm 
B: 	ja 
A: 	daardoorheen eigenlijk die rond 
A: 	met daar ook een bak op 
A: 	en dat tentakel aan de achterzijde 
B: 	dit zijn P 
B: 	dit zijn die pot zeggen maar met dat tafel voor 
B: 	waar een bak op staan 
B: 	daarboven zeggen maar 
A: 	met die twee 
B: 	ja 
B: 	die kruiwag 
A: 	die kruiwag 
A: 	ja 
A: 	dat zijn veertien 
A: 	dit zijn de kruiwag 
A: 	dus die je eigenlijk zo op kunnen pakken met het bak erbovenop 
B: 	ja 
B: 	dat zijn N 
B: 	dit zijn de kruiwag 
A: 	oké dat zijn nummer tien 
A: 	dit zijn de kruiwag 
B: 	kijken 
B: 	ja dat zijn D 
