A: 	dit zijn diegene die hebben dat zijn gewoon dat dan hebben die aan de een zijkant komen een soort niervormig uitstulpsel uit en de ander kant hebben die een soort van plateau waarop ik een plant zullen zetten 
A: 	maar en dan bij dat uitstulpsel komen een soort aliending naartoe 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij L 
B: 	mooi omschrijving 
A: 	wel 
B: 	dit zijn waar jij je plan op zullen voortzetten met 
A: 	ja 
A: 	mijn cactus 
A: 	dat zijn bij deze waar staan die 
B: 	je cactus 
A: 	nummer zeven 
A: 	mijn plantenbak 
A: 	die 
B: 	C 
B: 	ik hebben jou plantenbak 
A: 	ja dat zijn nummer één 
A: 	die met dat plantenplateau 
B: 	zijn A 
B: 	bij mij dat plantenbak 
A: 	nummer dertien 
