B: 	deze hebben soort van paddenstoel aan de bovenkant 
B: 	klein 
B: 	en dan zo'n vierkant aan de voorkant en dan links hebben die twee van die het lijken net oog of zo 
A: 	ja 
B: 	zeggen maar die klein worden zeggen maar naar het kop toe 
A: 	ja die 
A: 	ja 
B: 	dat zijn het eigenlijk 
A: 	ja dat zijn twee 
A: 	dit zijn ja het kop met bovenop de de paddenstoel 
A: 	en het vierkantje aan de Rechtervoorkant en die twee kubus die klein worden 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn die met die paddenstoel 
A: 	ja 
A: 	en dat plaat en die 
B: 	die oog 
A: 	ja 
A: 	dat zijn negen 
A: 	ja dit zijn die met de paddenstoel 
A: 	en de oog en het vierkant 
B: 	oké 
B: 	dat zijn D 
B: 	dit zijn die met die paddenstoel 
A: 	paddenstoel 
A: 	ja dat zijn één 
A: 	dit zijn die met de paddenstoel 
B: 	dat zijn B 
