B: 	dat gaan best wel smooth 
B: 	ja deze uitzien er heel anders uit dan de rest vinden ik zelf 
B: 	dit zijn dat kop wat zeggen maar op een plaat staan met twee van die geribbeld oort zeggen maar 
A: 	leuk ja zo van die ja ja ja 
B: 	ja 
A: 	ja nee dan weten ik hem 
B: 	ja 
A: 	dat zijn voor mij nummer vijf 
A: 	dit zijn met de de leuk raar oor zeggen maar 
B: 	ja 
B: 	ja als je zo doen dan weten ik het wel ja 
A: 	als je de de Pippi Langkousharen of zo ik weten niet 
B: 	ja beetje wel ja 
A: 	ja 
B: 	dat zijn J 
B: 	oké nu hebben ik met die Pippi Langkousdingen 
A: 	ja nummer elf 
A: 	de de Pippi Langkous 
B: 	die Pippi Langkous dat zijn bij mij P 
B: 	van Pippi 
B: 	oké nu hebben ik die Pippi Langkous 
A: 	ja nummer negen 
A: 	de Pippi Langkous 
B: 	dat zijn L 
