B: 	ik noemen dit de robot hij hebben twee oogjes die zo naar voren kijken hij hebben een heel groot vierkant aan de rechterkant 
A: 	hij hebben oog 
B: 	ja ik noemen het oog 
B: 	fantasie 
B: 	hij hebben een heel groot vierkant aan de rechterkant van zijn gezicht zitten en hij hebben een antenne op zijn hoofd 
B: 	je moeten hem denken ik even zoeken want hij zijn best wel expliciet ja 
A: 	ja ja ja ja ja ik zien hem een soort van spijker wat er op zijn hoofd zitten en dan 
B: 	inderdaad en een heel groot vierkant aan de rechterkant 
A: 	ja 
A: 	dan zijn het Numero twee 
A: 	dit zijn jou robot 
B: 	ja 
A: 	met die oog en dat spijkertje op het hoofd en die plaat aan één kant 
B: 	ik zitten hem even te zoeken ja 
B: 	dat gaan om G 
B: 	mijn robot 
A: 	jou robot ik gaan hem even opzoeken weer 
A: 	dat zijn Numero negen 
A: 	je robot 
B: 	ja dan gaan het om D 
B: 	ik zijn 
B: 	de robot 
A: 	ik zijn 
A: 	dat zijn Numero één 
A: 	de robot 
B: 	dat zijn B 
