A: 	ja ja dit zijn weer wat we net zo hebben over zo'n pluim en dan hebben je er hebben je er twee aan zitten één aan de voorkant en één er boven op 
A: 	en dan hebben je dan aan de zijkant hebben je soort van twee arm waar ook zo'n kubus eigenlijk van smal naar breed gaan aan de rechterzijde 
B: 	ja o die hebben zeggen maar dat zelfde ding dat bovenop uitsteekt opsteken aan de voorkant en dan zo'n ding dat langzaamaan groot worden 
A: 	ja 
A: 	ook aan de voorkant ja ja 
A: 	groot worden ja die ja 
B: 	ja dan zijn het E 
B: 	ja dit zijn weer diegene waarbij de de bovenkant dat zelfde ding uitsteken als aan de voorkant en dan zitten er daar nog 
B: 	twee ding naast met die blok die steeds groot worden en een ding dat een beetje afbuigen 
A: 	ja 
A: 	dat zijn dan Numero elf 
A: 	ja dit zijn weer die met die twee dezelfde pluim dus één bovenop en één aan de voorkant 
A: 	en dan hebben je aan de zijkant hebben je zo'n blok die langzaam bred worden en aan de onderkant hebben je zo'n raar draai nog erbij 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn weer diegene waarbij er aan de voorkant en aan de bovenkant hetzelfde ding uitsteken de blok die die groot worden en nog een soort slurf of zo eraan 
A: 	ja 
A: 	vinden 
A: 	ja dat worden dan dit nummer negen 
A: 	dit zijn die die met die met dezelfde pluim van boven en aan de voorkant en aan de zijkant hebben je zo'n kubus die langzaam groot worden en aan de ander kant hebben je zo'n worm achtig gebeuren ja 
B: 	ja 
B: 	nu hebben je weer dat uitsteeksel dan bovenin en aan de voorkant eruit komen en dan hebben je nog die kronkel en die die uitgeklapt kubus 
A: 	ja 
A: 	ja daar zijn hij 
A: 	nummer vier 
