B: 	ik noemen dit de gek professor met die gek staafjes aan de zijkant met een plateau eronder 
A: 	ja 
B: 	groot ronde 
A: 	een soort van 
A: 	ja 
A: 	een soort van zijn dat dat dat dienblad met een kop met een soort van earplug in 
B: 	ja die heel gek staafjes 
A: 	ja ja 
A: 	dan zijn het Numero vijf 
A: 	dit zijn dit zijn wat jij noemen de professor 
B: 	ja 
A: 	dus met die ding in de oor 
B: 	met die gek ja 
A: 	ja 
B: 	dan misgaan het om J 
B: 	dit gaan om de professor 
A: 	de 
B: 	met die gek ding uit zijn oor 
A: 	ja 
A: 	ik zoeken hem even op ja dat zijn Numero elf 
A: 	de professor 
B: 	ja 
B: 	dat worden P 
B: 	de professor 
A: 	de professor dat zijn dan Numero negen 
A: 	ja jou professor 
B: 	ja dan gaan het om L 
