B: 	zitten twee object bovenin 
B: 	éént zijn een heel tweedimensioneel klein blok 
B: 	en dat zijn dat rechter figuurtje , dat linker figuurtje lijken alsof het een heel sierlijk lepeltje zijn 
B: 	wat in vorm veranderen 
B: 	en het hebben een soort van bol op de voorkant 
A: 	ja 
A: 	en nog een staaf aan de 
B: 	staaf aan de linkerkant 
A: 	ja 
A: 	zestien 
A: 	met twee één zo'n twee dinge uit de bovenkant één zijn de rechter zijn vierkant en de ander zijn met een soort van sierlijk lepel en met de neus 
B: 	ja 
B: 	en een neus ervoor 
A: 	ja 
B: 	ja 
B: 	K 
B: 	recht heel klein balk bovenin , een sierachtig lepel ernaast 
A: 	ja 
A: 	en een neus 
B: 	rond neus 
A: 	ja 
B: 	vol 
A: 	twaalf 
A: 	boven it bovenin zitten twee staaf een gewoon en de ander zo'n sierlijk 
B: 	ja 
B: 	even zoeken waar zijn je 
A: 	met die neus voorop 
B: 	ja A 
B: 	twee lepelt , één klein balk en een heel sierlijk lepeltje 
A: 	ja 
B: 	neus 
A: 	een 
A: 	die neus met dat sierlijk lepeltje en het normaal lepeltje 
B: 	ja 
B: 	even kijken 
B: 	H 
