A: 	ja 
A: 	deze hebben een soort scherm aan de achterkant ik vinden hem een beetje op een zonnepaneel lijken 
A: 	en twee staven links en rechts met bolal aan het eind 
B: 	ja dan zijn het l 
B: 	deze hebben twee uitstulpsels aan de zijkant links en rechts met dopp eraan 
B: 	een soort zonnescherm aan de bovenkant met een hendel eraan 
A: 	ik kunnen hem niet vinden 
A: 	ja 
B: 	hij lijken ook wel wat op een gieter 
A: 	ja twaalf 
A: 	deze lijken op een gieter 
B: 	ja 
B: 	met een zonnescherm 
A: 	ja 
B: 	okee dat zijn n 
B: 	deze lijken op een gieter 
A: 	ja dat zijn vijf 
A: 	gieter 
A: 	zonnepaneel 
B: 	gieter gieter waar zijn je blijven 
B: 	dat zijn d 
B: 	gieter 
A: 	ja 
A: 	twaalf 
