A: 	ik hebben er nu één met zo'n soort ruit Erboven en van die vierkant aan de zijkant ernaast 
A: 	even ja die zitten eigenlijk achter die ruit en ervoor en aan de voorkant opsteken er nog zo'n staaf uit en er steken ook nog aan de 
B: 	ja 
B: 	aan de onderkant hebben je ook zo'n 
A: 	ja aan de onderkant zo'n soort zo'n staaf en aan de rechterkant zo'n staaf nog 
B: 	ja 
B: 	oké dan zijn het bij mij dan M 
B: 	ja ik hebben nu die een weer met ja een soort van dat zijn die een met hoe noemen je dat 
B: 	ja een vierkant zeggen maar aan de bovenkant of ja een soort van ruit 
B: 	en daaruit steken dan ook weer van die vierkant die telkens groot worden 
A: 	ja en dan zo'n staaf rechtsvoor zeggen maar 
A: 	en twee van die staaf één eronder en één rechts 
B: 	ja 
B: 	ja die inderdaad 
A: 	ja 
A: 	dat zijn nummer negen bij mij 
A: 	ik hebben nu die een met die soort ruit achter aan de bovenkant en die vierkant aan de zijkant 
A: 	en dan één zo'n ding aan de rechterkant zo'n uitsteeksel en één aan de onderkant en zo'n staaf ervoor 
A: 	bij mij liggen die heel ja 
B: 	die een met ook weer die vierkant die telkens groot worden die uit zo'n uit een ruit komen zeggen maar 
A: 	ja die groot worden 
A: 	ja 
A: 	ja uit die ruit komen ja 
B: 	oké dat zijn bij mij zijn dat H 
B: 	nou hebben we weer die een met die ruit zeggen maar aan de bovenkant met die de vierkant die steeds groot worden inderdaad en dan eronder en 
A: 	vierkant erdoorheen 
A: 	ja 
A: 	ja 
B: 	aan zijkant 
A: 	nummer elf zijn dat bij mij 
A: 	ik hebben nu die een met die soort ruit met die vierkantjes die groot worden aan de zijkant 
A: 	daarachter zeggen maar 
B: 	ja 
A: 	en die uitsteeksel één aan de onderkant en één rechts 
B: 	ja 
B: 	dat zijn bij mij d 
B: 	dan hebben we weer die een met met die ruit zeggen maar waar dan die drie of die kubus uit komen die steeds groot worden 
A: 	dat zijn bij mij nummer veertien 
