A: 	ja hier deze staat volgens mij als enig op een krom blok 
A: 	en die hebben eigenlijk aan de zijkant hebben hij twee ja een cilinder vormige en nog een kubusachtig hand zullen ik maar zeggen zo zeg en 
B: 	krom 
B: 	hebben hebben hij bovenin een soort driehoek waar dat ding doorheen opsteken 
A: 	een ding dat doorheen gaan ja ja 
B: 	ja ok dan zijn het M 
B: 	ja dit zijn weer diegene die zo'n hoek van negentig graad aanhangsel hebben onderin zeggen maar en die zitten er dan ook nog een keer aan de zijkant 
B: 	dan hebben je nog die staaf die uitsteken en bovenin hebben je die diamant of zo of die die ruit waar dat 
A: 	en die ruit waar zo'n ding doorheen 
B: 	waar dat ding doorheen gaan ja 
A: 	ja dat zijn dan nummer negen 
A: 	ja dit zijn dan eigenlijk die steunen weer op iets dus op zo'n op zo'n zo'n knik knikken 
A: 	kubus achtig en die hebben hij ook dan aan de zijkant zitten en dan plus met nog een ander soort toet toet er bij er bovenop hebben hij eigenlijk een soort van ruit met zo'n doorboren 
B: 	die 
B: 	o ja 
B: 	die ruit waar die blok 
A: 	ja wat doorheen komen 
B: 	ja doorheen gaan dan zijn dat H 
B: 	deze hebben bovenop die ruit die doorboren worden en dan aan de zijkant hebben je nog van die ding in zo'n hoek en aan de onderkant ook en dan nog zo'n staaf erbij 
A: 	ja 
A: 	zijn nummer elf 
B: 	ja 
A: 	ja dit zijn die die ruit die er er bovenop worden gedoorboord door zo'n kubus en dan hebben je onderin hebben je één houder zo'n kromme houder ja 
B: 	ja dat zijn dan D 
B: 	dit zijn weer diegene met die ruit waar die blok doorheen gaan zo'n uitsteeksel aan de onderkant dezelfde zitten aan de zijkant en een soort staaf die uitsteken 
A: 	jajaja ja dat zijn weer die ja diezelfde staaf van onder zitten ook aan de zijkant ja dat zijn dan nummer veertien 
B: 	ja 
