B: 	dan zijn ik weer 
B: 	even kijken hoe gaan ik dit uitleggen ? als je weer het kop hebben zeggen maar de vorm van het kop 
B: 	dan gaan er een vierkant plaat gewoon recht doorheen 
B: 	aan de bovenkant steken twee klein pinne uit 
B: 	link steken een een soort haak uit 
A: 	een soort haak ja en dan hebben je nog zo'n glijbaan 
B: 	ja 
B: 	en een soort glijbaan aan de voorkant ja 
A: 	ja precies dat zijn zes 
A: 	deze hebben twee klein knopje bovenop en zo'n plaat die er dwars doorheen gaan 
B: 	ja met het soort glijbaan 
A: 	ja 
B: 	ja dat zijn C voor mij 
B: 	of the deze hebben de plaat die hem doormidden scheiden als het zijn met het glijbaan en de twee punt bovenop 
A: 	ja 
A: 	ik moeten hem even zoeken yes dat zijn dertien voor mij 
A: 	dit zijn die met de plaat die hem doorboort en dan glijbaan twee punt 
B: 	welk hebben je 
B: 	ja 
B: 	dat zijn J voor mij 
B: 	en dit zijn weer met de vierkant plaat erdoorheen en de glijbaan 
B: 	en twee punt bovenop 
A: 	ja dat zijn negen voor mij 
A: 	dit zijn die met het plateau dat doorboort en dan de glijbaan 
B: 	nee dat zijn N 
