B: 	okee ja mijn staan op een soort een ovaal verhoging 
B: 	komen één zeshoekig pijp uit 
B: 	soort van een handvat erin en aan de achterkant zijn een rond achter de mok 
B: 	soort van 
A: 	ovaal verhoging 
B: 	ja 
A: 	en je zien zo'n half cirkel achter achter de emmer 
B: 	ja 
A: 	okee 
A: 	drie 
B: 	ik zeggen wel ja 
A: 	deze zijn die met die half cirkel achter de emmer 
A: 	en links ervan zijn een cilinder die eruit komen 
B: 	ja 
B: 	o 
B: 	deze staat op een ovaal verhoging hebben aan de linkerkant een zeshoekachtig staaf eruit hangen 
B: 	en een half cirkel erachter ja 
A: 	ja 
A: 	negen 
A: 	deze hebben die dat ovaal onderop de emmer 
A: 	en die half cirkel achter de emmer 
B: 	ja b 
B: 	deze hebben de cirkel half cirkel erachter en hij staan op die ovaal verhoging 
A: 	ja 
A: 	zes 
A: 	deze zijn met die half cirkel erachter 
B: 	h 
