A: 	het lijken net alsof er iets van een een heel groot 
A: 	ja het zijn niet echt een punaise maar echt zo'n een een naald of iets of zo of een splinter erin komen 
B: 	zo'n soort Eiffeltoren op zijn kop 
A: 	of een naald of zo dat lopen zo 
A: 	ja precies of een Eiffeltoren op de kop dat die erin gaan zeggen maar echt ja 
B: 	ja 
B: 	oké dat zijn L 
B: 	ja dit zijn ja weer het kop met dat een plat plaat en die omgekeerde Eiffeltoren 
A: 	ja waar zijn die ook alweer eens ? waar staan je ook alweer eens 
A: 	even kijken zijn dat met die een plaat zo schuin en dan twee Eiffeltoren erin en boven nog zo'n een beetje zo'n paddenstoel of zijn dat die ander 
A: 	met die Eiffeltoren erin boven één zo'n ding en dan dezelfde ernaast 
B: 	ja het zijn zeggen maar één zo dat zijn eigenlijk die naald zeggen maar die er 
A: 	die zijn het dat zijn dat noemen je Eiffeltoren ja kloppen ik weten het weer 
B: 	ja 
B: 	ja 
A: 	in die groot blok ja 
B: 	ja ja 
A: 	zeven 
A: 	dit zijn die ja naald in de arm lijken het wel een beetje of die nee geen piramide wat zeggen je ook weer eens ? Eiffeltoren zeggen je volgens mij in die in de arm 
B: 	ja ja 
B: 	ja ja ja 
B: 	ja 
B: 	C 
B: 	dat zijn die naald in die arm 
A: 	ja 
A: 	ja 
A: 	één 
A: 	dit zijn de Eiffeltoren in de arm 
B: 	A 
B: 	de naald 
B: 	in de arm 
A: 	de naald in de arm ja 
A: 	dertien 
