B: 	oké deze vinden deze zijn wel ja niet heel herkenbaar er zitten het hebben geen plateau of zo er zitten alleen boven een soort rechthoek bovenop 
B: 	en linksonder zitten een groot of een een rond ding dat boven wat klein zijn en onder wat groot 
B: 	en dan zitten er rechts nog een een uitsteeksel maar die zien je niet heel duidelijk of kunnen je niet heel duidelijk een naam geven 
A: 	lijken het net of die een stok aan de rechterkant 
B: 	ja 
B: 	ja een soort stok en dan één met daaronder nog een uitsteeksel daar lijken het op 
A: 	ja 
A: 	en bovenop zeggen maar een een een balk 
B: 	ja een rechthoek ja 
A: 	wat erop liggen 
A: 	ja 
A: 	dat zijn nummer acht 
A: 	dit zijn het figuur met het balk wat erbovenop liggen en hij hebben eigenlijk één ja een soort van een pennetje vast lijken het wel 
B: 	ja en dan links onder dat dinge dat groot worden naar beneden 
A: 	ja 
A: 	ja 
B: 	ja dat zijn E 
B: 	dit zijn dat met dat blok erbovenop rechthoek erbovenop en dat pen dinge aan de rechterkant 
A: 	ja 
B: 	ja 
A: 	oké dan weten ik welk je bedoelen dat zijn één 
B: 	die 
B: 	ja 
A: 	deze hebben het balk bovenop liggen en het staaf het lijken wel of die het staaf ja het klein staaf rechtsvoor zitten 
B: 	ja en dan links dat dat rond dinge 
A: 	ja 
A: 	ja 
B: 	ja dat zijn E 
B: 	dit zijn met het blok bovenop en het penne aan de rechterkant 
A: 	ja waar link ook nog zo'n ding zitten toch 
B: 	ja 
A: 	ja dat zijn nummer zestien 
A: 	dit zijn weer dat figuur met dat balk wat erop liggen met dat penne in de hand 
A: 	aan de rechterkant 
B: 	ik zoeken hem even hoor 
A: 	dat dun pinne 
B: 	ja dat zijn O 
