B: 	oké 
B: 	dan moeten jij volgens mij net drukken 
A: 	nee jij moeten wel drukken van de plek 
B: 	oké 
B: 	oké oké ik hebben weer het vierkant nu 
A: 	ja 
B: 	ja 
B: 	nou het zijn dus er zitten een vierkant in het midden 
B: 	ik weten niet horizontaal 
A: 	ja 
B: 	en aan de voorkant zitten er zo'n dik cilinder hebben ik het noemen 
A: 	een soort slurf zeggen maar 
B: 	ja ja 
A: 	ja ja 
B: 	bovenop twee van die dinget 
A: 	ja ik hebben hem 
B: 	oké tof 
A: 	ja 
A: 	dan zijn dat zes 
A: 	dit zijn dat ding met soort van twee voelsprietjes op zijn hoofd en dan een soort van een plank die hem doorboort 
A: 	en een soort slurf aan de voorkant 
B: 	even zoeken 
B: 	ja ja ja dat zijn C 
B: 	dit zijn de met een vierkant doormidden snijden met de slurf 
B: 	bovenop twee van die 
A: 	ja soort voelspriet achtig iets en een soort haak aan de linkerkant 
B: 	ja 
B: 	ja 
A: 	ja dertien 
A: 	dit zijn de soort van plank erdoorheen en de slurf en twee voelsprieten bovenop 
B: 	ja ja J 
B: 	dit zijn de met het plateau doormidden 
B: 	met de slurf dus twee voelsprietjes bovenop 
A: 	yes dat zijn negen 
A: 	dit zijn de de doorboring met het soort van de plank en de slurf en de voelsprieten bovenop 
B: 	ja dat zijn N 
