A: 	hier zijn van alles aan de hand 
A: 	aan de onderkant zijn er een één ja lijken wel een soort afvoerbuisje 
A: 	en een soortgelijk buisje zijn er aan de rechterkant 
A: 	en bovenop zijn er een een ruit 
A: 	met aan beide kant een soort uitstulping die ook steeds bred worden 
A: 	en in het midden van de emmer , een beetje naar rechts kantelen , zijn er een soort pinokkioneus 
B: 	ja 
A: 	zo'n zo'n houten 
B: 	ja ik denken dat ik hem ja ik weten hem dit zijn G 
B: 	deze hebben heel veel , deze hebben aan de onderkant een soort poo , voe 
B: 	en Linksboven ja een soort van twee vierkant , die , ja ruiten , die , ja , links en rechts steeds groot vierkant krijgen zeggen maar 
B: 	en rechtsvoor ja zo'n vogelhuisstok 
B: 	en daar onder ook nog een soort staaf 
B: 	het belangrijk zijn dat hij een voe hebben 
A: 	voe hebben hij , even kijken 
B: 	ja aan de onderkant 
B: 	ja 
A: 	en hebben hij een soort ruitvorm bovenop en dan twee staaf 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	steeds groot vierkant ja 
A: 	precies en afzien daarvan hebben hij een soort houten pinokkioneus 
B: 	ja 
B: 	ja dat zijn hem 
A: 	en een handvat onder en aan de rechterkant 
B: 	ja 
A: 	ja 
A: 	nummer zestien 
A: 	pfoeen ja deze zijn ja twee nee wachten twee ruit bovenop en uit die rui komen die 
B: 	die kubus die groot worden 
A: 	ja die groot worden 
B: 	en een poo onderaan 
A: 	een poo onder , een poo aan de rechterkant en een soort neusje 
B: 	ja 
B: 	ja dat zijn O 
B: 	deze hebben een voe aan de onderkant 
B: 	en bovenop zo'n ja vierkant ruit waaruit twee link en rechts , ja 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	nummer vijfteen 
A: 	deze zijn met de ruit en de ook met die groot worden kubus 
B: 	en een voe 
A: 	een voe 
B: 	ja 
A: 	ja 
B: 	I 
B: 	deze hebben een poo aan de onderkant 
B: 	en pootje rechts 
B: 	en bovenop die vierkant en kubus die groot worden 
B: 	ja we moeten er een naam voor bedenken , 
A: 	ah 
A: 	nog één keer , zullen je het kunnen herhalen 
B: 	een voe aan de onderkant 
A: 	ja 
B: 	en ja die pinokkioneus die je zeggen , rechts voor een beetje 
B: 	en bovenop ja een vierkant , twee vierkant , met aan beide kant , links en rechts , kubus die steeds groot worden 
A: 	ik zitten te kijken naar die pinokkioneus , wachten ik zijn het even kwijt 
B: 	ja beetje rechts naar voren , rechtsvoor , ja , voor ons 
A: 	ja 
B: 	en daar onder zitten nog een soort pootje zeggen maar 
B: 	haak , ja , hoe je het noemen 
B: 	maar hij hebben een voe , dat zijn het belangrijk 
A: 	hij hebben een voe , dat zijn die theekanen , of niet 
A: 	met dat 
B: 	nee nee nee 
A: 	nee dat niet , nee 
B: 	of zo'n poo , ja 
A: 	pinokkio , waar zijn pinokkio 
B: 	ja een een staaf 
A: 	aha 
B: 	voor rechts 
A: 	aan de voorkant rechts 
B: 	ja 
A: 	ah met één met een met een gootje of niet ? nee 
B: 	en daar onder zitten nog een ding 
B: 	ja niet echt nee 
A: 	nee 
B: 	nee bovenop hebben hij ook wat , ja van die vierkant , en dan links en rechts , die kubus die steeds groot worden 
A: 	links en rechts 
B: 	links en rechts ja 
A: 	met die ruit 
A: 	ah die , met die ruit , en onderkant dat voe en die , ja precies 
B: 	ja we noemen hem ruit 
B: 	ja we noemen hem ruit 
A: 	met die ruit 
A: 	ja ja ja 
B: 	ja 
A: 	nummer tien 
