A: 	ik hebben er één en die lijken een beetje alsof die een neuspiercing hebben 
B: 	ja dan weten ik al welk het zijn ja 
A: 	en het zijn een soort 
B: 	en hebben die ook zo zo'n haar op de achterkant en 
A: 	ja en het zijn een basketbal standaard zeggen maar 
B: 	ja 
A: 	zo'n soort korfbalstandaard 
B: 	ja ja ja ja ja 
A: 	oké 
B: 	dan zijn dat bij mij F 
B: 	de neus neuspiercing 
A: 	ja dat zijn nummer vijf 
A: 	dit zijn de neuspiercing 
B: 	even kijken dat zijn A 
B: 	dit zijn de neuspiercing 
A: 	zijn nummer vijf 
A: 	de neuspiercing 
B: 	de neuspiercing waar zijn je 
B: 	H 
B: 	de neuspiercing 
A: 	dat zijn vijftien 
