B: 	oké ik hebben het rood vierkant 
B: 	even kijken ik zien een cirkel een half cirkel die verbergen zijn achter soort van koffiekopje 
B: 	en het voelen alsof de lepel rechts zitten 
A: 	ah en zitten er nog een staaf aan de zijkant uit 
B: 	ja aan de linkerkant 
A: 	ja 
A: 	zes zijn het dan bij mij 
B: 	beetje balk 
A: 	ja 
A: 	oké zes 
A: 	en dan 
A: 	een lepeltje bovenin link 
A: 	aan de achterkant van het beker een half cirkel 
A: 	en aan de linkerkant nog een staaf eruit 
B: 	ja redelijk blokkerig staaf 
A: 	ja 
A: 	en hij staat nog op een dinge 
B: 	ja 
B: 	ja staan op een heel klein verhoginkje 
A: 	ja 
B: 	ja 
B: 	H 
B: 	het cirkelt zitten verstoppen achter de kop 
B: 	rechts zitten een lepeltje 
A: 	ja 
B: 	link een balk 
A: 	ja 
B: 	met een soort verhoginkje eronder 
A: 	ja 
A: 	tien 
A: 	een deze staat op zo'n klein plateau aan de achterkant zitten een half rond 
A: 	rechts bovenin zitten een lepeltje 
A: 	en links eruit komen nog een vierkant 
B: 	ja 
B: 	ik hebben hem 
B: 	K 
B: 	cirkel erachter 
B: 	aan de linkerkant een heel recht staaf , recht rechtsboven een lepel erin 
A: 	ja 
A: 	twaalf 
A: 	klein lepeltje aan de rechterkant 
A: 	half cirkel aan de 
B: 	ja 
B: 	P 
