B: 	deze hebben twee oor die aan de onderkant bre worden en een soort hanekam op zijn hoofd 
B: 	een klein 
B: 	en ook nog een neus 
B: 	een neus die uit twee vlak bestaan 
A: 	maar wat zeggen wat zeggen je in het begin 
B: 	een soort oor die aan de onderkant bre worden 
B: 	dus die uitstaan 
A: 	ah 
A: 	ja en dan een de neus zijn een staaf 
A: 	wat zitten er bovenop het hoofd 
B: 	een soort hanekam een klein 
A: 	maar dat zijn een een een een langhoek een 
B: 	een één 
B: 	een plat staaf zijn dat 
A: 	plat staaf 
A: 	ja okee dan zijn het even zeker weten vijf 
A: 	deze hebben een hanekam 
B: 	ja ik denken dat ik hem al weten 
A: 	ja ? okee 
B: 	l 
B: 	deze hebben de lopen oor en de hanekam 
A: 	ja 
A: 	dat zijn twee 
A: 	deze hebben een hanekam 
B: 	ja 
A: 	en uitlopen oor 
B: 	waar zijn die blijven 
B: 	daar dat zijn g 
B: 	hanekam 
A: 	even zoeken een 
A: 	hanekam 
B: 	dat zijn b 
