B: 	nou dit zijn een kop daar zijn komen een komen een soort komen twee blokkentorent uit 
B: 	zitten een soort van spijkertje op en een vierkant ertegenaan plakken 
A: 	even kijken 
A: 	kunnen je het nog een keer 
B: 	nou ja je hebben dus het kop 
B: 	er zitten een vierkant tegenaan plakken 
A: 	ja ja 
B: 	en een spijker 
A: 	ja 
B: 	bovenop 
A: 	ja 
A: 	en dan inderdaad aan de linkerkant die twee blokkentorens dat zien ik nu 
B: 	ja 
B: 	blokkentorens ja 
A: 	ja twee zijn dat 
B: 	ja 
A: 	ja oké zelfde plek 
A: 	oké dit zijn die met een vierkant ervoor 
A: 	en aan de linkerkant die twee blokkentoren die ertegenaan staan en die spijker erbovenop 
B: 	ja 
B: 	dat zijn G 
A: 	oké 
B: 	het zijn weer die een met het spijkert erop en het vierkantje ertegenaan plakken 
B: 	en de blokkentoren 
A: 	yes oké dat zijn negen 
A: 	oké dit zijn die met het vierkant aan de voorkant 
A: 	de twee blokkentorens link en die spijker 
B: 	ja 
B: 	d 
A: 	yes 
B: 	het zijn weer de de spijker het het plat vierkant en de blokkentorens 
A: 	even kijken ja 
A: 	dat zijn één 
A: 	vierkant aan de voorkant de twee blokkentorens link en het spijkert erop 
B: 	even zoeken 
B: 	B 
A: 	yes 
