A: 	ja deze dat vinden ik een raar je hebben zeggen maar drie handvaat soort van 
A: 	hè ? als je het als koffiekopje beschouwen en één ja soort van kegelachtig ding dat er recht bovenin insteekt en dan hebben je die handvatjes 
A: 	die naar boven gaan zijn dezelfde als die de 
B: 	ja ja 
A: 	en dan hebben je een soort van krommink erachter en een vierkantjes die steeds dik worden 
B: 	ja 
A: 	aan aan de zijkant 
B: 	oké dat zijn nummer E 
B: 	dit zijn dat ding met die vier arm waarvan die linker en die boven hetzelfde zijn 
B: 	en dan die een met die vierkantjes die steeds groot worden 
A: 	aan de rechterkant en dat 
B: 	rechterkant 
B: 	en links dat buigen armp 
A: 	ja dat zijn elf 
A: 	die drie handvaat 
A: 	en bovenop dezelfde als die aan de zijkant zitten 
B: 	ja 
A: 	aan de rechterkant de vierkant die groot worden en het golf linksachter 
B: 	ja 
B: 	dat zijn J 
A: 	gaan wat te snel joh 
B: 	ja we zitten er goed in 
B: 	dit zijn die met die vier armp waarvan de bovenste en links hetzelfde zijn 
B: 	en dan hebben je rechts die vierkant die groot worden en 
A: 	ja 
A: 	nummer negen 
A: 	drie handvaat en die een handvat zijn hetzelfde als dat ding erbovenop 
B: 	ja 
B: 	maar vier vier handvaat dan of niet 
A: 	ja nou de bovenste dat vinden ik veel een soort lepeltje 
B: 	ah oké ja 
B: 	ja 
A: 	ja 
B: 	dat zijn B 
B: 	dat ding met die drie handvaat en dan de bovenste en de links zijn hetzelfde 
A: 	ja nummer vier 
