A: 	oké ik hebben nu die een met die driehoek bovenop 
A: 	en die driehoek hebben een beetje raar kleur vinden ik maar 
B: 	lijken een beetje op een hoed vinden ik 
A: 	ja misschien wel denken ik 
B: 	of niet 
A: 	ja ik denken het wel 
A: 	en dan zitten link nog een soort van raar wervelwolk of zo 
B: 	ja 
A: 	dat zijn een beetje een raar figuur 
A: 	en dan zitten linksonder nog een soort van schijf en rechts zitten één ja 
A: 	ja ook een raar figuur 
A: 	ik kunnen het niet zo goed 
B: 	met vier hoek maar dan geen vierkant 
A: 	ja 
B: 	oké 
B: 	dat zijn bij mij J 
B: 	deze hebben een soort driehoek aan de bovenkant 
B: 	en het vierhoekding wat niet vierkant zijn of geen kubus zijn aan beetje voorkant rechts 
B: 	en dan links die ja wolk of zoiets of hoe noemen je het 
A: 	ja dat zo uitlopen ding 
B: 	ja 
B: 	en dan aan linksonder nog een schijf 
A: 	ja 
A: 	ja dat zijn nummer zes 
A: 	deze hebben die driehoek bovenop en dat soort van wolk wervelwindje link 
A: 	en die raar uitstekend vorm rechts en dan weer dat rond link onderaan 
B: 	ja 
A: 	met een hap eruit zeggen maar 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	deze zijn met de driehoek aan de bovenkant en de schijf aan de onderkant en rechts het vierhoek en links de 
A: 	wolk dinge 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer tien 
A: 	oké 
A: 	ik hebben nu die een met die driehoek bovenop en dat soort van wolk links 
B: 	ja 
B: 	waar staan die 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	dit zijn met dat wolk aan de linkerkant en een driehoek bovenop 
A: 	ja 
A: 	dat zijn nummer tien 
