B: 	okee het zijn laten maar zeggen dat hoofdplatform 
A: 	ja 
B: 	met daaromheen een steeksel aan de linkerkant 
A: 	ja 
B: 	het zijn een rond uitsteeksel 
A: 	staan er twee streep op dat dinge 
B: 	nee één 
B: 	en dan boven opsteken dus laten maar zeggen zo'n ja op de kop zo'n kegel uit 
B: 	en daarachter een cirkel 
B: 	zitten daaraan vastgebenden 
A: 	even kijken hoe zijn het platformp met twee poot 
B: 	nee dus het staan op ja nee het vaststaan dus op een ja ja zo'n rond ja kijken zo zo'n rond opzetstuk het zijn één ja 
A: 	ook niet 
A: 	ja 
B: 	het zijn niet een cirkel maar langwerpig soort 
A: 	je hebben zeggen maar de hoofdbak bij elk plaat 
B: 	ja en die staan op een ja die staan op een op op zo'n vorm 
A: 	ja okee 
B: 	en dan aan de zijkant aan de linkerkant 
A: 	ja 
B: 	hebben je een cirkel dat laten maar zeggen uitsteekt dus ja dit 
A: 	ja 
A: 	ja 
B: 	en daar bovenop een op een kegel op de kop 
A: 	ja 
B: 	en daarachter nog een cirkelplateau dat wel 
A: 	ja okee dan weten ik welk het zijn 
B: 	okee 
A: 	dat zijn nummer vijf 
B: 	ja ik hebben alleen maar a b c d 
A: 	ja volgens mij moeten ik hem gewoon noemen en dan drukken 
B: 	zo 
A: 	ja dat zijn nummer vijf 
A: 	nou de hoofdvorm staan op een op een plateau 
A: 	link van de hoofdvorm hebben je weer een rond staaf die uitsteken 
A: 	links achter de hoofdvorm hebben je een rond cirkel die daaraan vastgeplakt zitten 
A: 	en rechts bovenop de ronde op bovenop de hoofdvorm hebben je een soort van ja 
B: 	kegel 
A: 	ja hoe noemen je zoiets een 
B: 	kegel op de kop 
A: 	ja een kegel op de kop inderdaad 
B: 	ja 
A: 	ja 
B: 	dat zijn b 
B: 	de hoofdvorm met een schuin kegel staan daar op zijn kop rechts 
B: 	daarachter zijn een plat cirkel daaraan vastgeplakken 
B: 	link bekendstaan zijn een staaf een rond staaf dat uitsteken 
B: 	en dat vaststaan ook op een plateau 
A: 	ja en rechtsboven hebben je dat 
B: 	die cirkel op zijn kop 
A: 	even kijken 
B: 	dus 
A: 	ja die kegel op zijn kop bedoelen je 
B: 	ja sorry kegel 
A: 	ja 
A: 	okee nummer zes 
B: 	ik haalen het door de war ja 
A: 	dit zijn de hoofdvorm die op een bevestigingsstuk staan met een rond vorm erachter en links uitstekend een 
B: 	ja 
B: 	m 
B: 	dit zijn de hoofdvorm dat op een plateautje staan waarbij een plat cirkel erachter achter aan de hoofdvorm vastzitten 
B: 	bovenop de hoofdvorm staan een schuin kegel rechts 
B: 	en link een uitsteeksel 
A: 	ja nummer vier 
A: 	dit zijn de hoofdvorm die op dat plateau staan of tenminste zo'n heel klein plateaut met een cirkel er aan vastgeplakt aan de achterkant 
B: 	yes 
B: 	j 
