A: 	bij mij zitten er een driehoek bovenop en dit zijn wel een scherp driehoek 
A: 	zijn geen stompe maar echt met een punt 
A: 	en dan zitten er nog een soort van balk die steeds bred worden zo tegen het figuur aan dan zitten er aan de linkerkant nog één ja een punt 
B: 	en er steken een klein muntstuk aan de onderkant uit 
A: 	een scherp dinge 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn die met die heel sterk driehoek de piramide op bovenop 
B: 	en dan met het vierkant dat naarmate die dichterbij komen bred worden 
A: 	ja 
B: 	klein veer wat uitsteken en een muntstuk wat eruit vallen 
A: 	ja 
A: 	dat zijn nummer zes 
A: 	dit zijn met dat puntig driehoek erbovenop 
A: 	en dan zo'n blok een muntje aan de links kant en 
B: 	wat eruit vallen 
A: 	ja en aan de links kant zo'n klein kogel 
B: 	en een soort kogel die erin komen 
A: 	ja 
B: 	ja zeiden zijn ook al twee kogel ja het zijn een kogel 
A: 	ja 
A: 	ja 
B: 	ja dat zijn bij mij E 
A: 	misschien vallen het viel het net gewoon op omdat ze die omcirkeld zijn bij mij maar 
B: 	ja 
B: 	ja nee nu inderdaad weer 
A: 	ja 
B: 	heel gek 
B: 	nou daaronder zitten dus die met dat tafel 
A: 	ja de 
B: 	hebben je die dan ook 
B: 	met dat met dat dienblad 
B: 	en daaronder zitten die met die heel scherp punt 
A: 	ja 
B: 	scherp punt en dan dat veer en dat muntstuk dat eruit vallen 
A: 	piramide zeggen maar 
A: 	ja 
A: 	zijn nummer tien 
B: 	ja 
A: 	dit zijn het veel linksbovenste figuur bij mij dat zijn een heel scherp heel scherp punt de driehoekpunt erbovenop 
B: 	muntstuk dat eruit vallen 
A: 	met dat mun die eronderuit vallen 
B: 	ja dat zijn bij mij G 
B: 	dit zijn die met die heel stompe driehoek en die kogel 
A: 	even zoeken ja dat zijn nummer zes 
