B: 	ah ja ik vinden dit echt een beetje een ding met een neus op de één of ander manier 
A: 	ja je hebben er twee inderdaad die een zitten erdoorheen en die ander dan niet 
B: 	ja weten ik niet 
B: 	niet met de piercing zeggen maar gewoon die ander 
A: 	of 
A: 	nee maar die ander met 
B: 	twee ding erbovenuit en zo'n driehoekig ding dat eruit komen 
A: 	ja een speer en een balk zeggen maar 
B: 	ja 
A: 	ja 
A: 	veertien 
A: 	dit zijn ja dat man met met met een neus en dan hebben die dus een zo'n soort van speerachtig iets als een pilaar bovenuit lijken ook een beetje op een 
B: 	en dat driehoek aan de linkerkant 
A: 	ja ja lijken ook een beetje op een pennenbak 
B: 	oké 
B: 	N 
B: 	dit zijn degeen met de neus zonder de piercing 
B: 	met de met die kegel ding bovenop 
A: 	ja ja ja even kijken waar ja 
A: 	dat zijn negen 
A: 	dit zijn degeen met de neus zonder de piercing 
B: 	G 
B: 	de neus zonder piercing 
A: 	neus zonder piercing vijf 
A: 	dit zijn met de neus en zonder de piercing 
B: 	J 
