A: 	okee je hebben een soort van lepeltje laten maar zeggen in de emmer en daaronder zien je een bolle die in een soort pin 
A: 	aan de rechterkant zitten een bolle die in een soort balk zijn geschoven 
B: 	aan de onderkant zeggen je 
A: 	nee aan de rechterkant 
A: 	rechterkant zijn een balle die in een soort balk zijn geschoven 
B: 	aan de 
A: 	en in de emmer of in dat dat bak zitten ook nog een soort ja dinge 
B: 	wachten even je hebben een een balk aan de rechterkant 
A: 	ja 
B: 	en je hebben een bolle op de bovenkant 
A: 	en er zitten een bolle soort van op 
A: 	nee nee nee in de balk geschoven laat maar zeggen 
A: 	je hebben een paar afbeelding met zo'n bolle 
A: 	en ergens zitten dat bolle aan de rechterkant 
B: 	ja 
B: 	ja 
A: 	en die zitten in een soort pin 
B: 	alsof hij een soort van piercing door zijn 
A: 	ja 
B: 	zo 
B: 	ja dan zijn het m 
A: 	en kloppen het dat daarop boven ook nog een soort van toet 
B: 	ja appelsteeltje op een 
A: 	appelsteel ja lepel in de emmer ja 
B: 	ja 
B: 	ja ja 
A: 	dat zijn hem 
B: 	okee dan zijn het m 
B: 	maar hoe moeten ik dat nou klikken dan 
A: 	ja je moeten gewoon noemen m en dan op een nummer 
A: 	want ze horen dat je nu m dadelijk m zeggen 
B: 	maar dan moeten 
B: 	moeten jij dan niet het nummer doorgeven dan 
A: 	nee 
A: 	want ik zien het nummer er ik zien het namelijk erbij staan 
B: 	maar ik weten niet op wat voor knop ik nu moeten drukken 
A: 	ja één van de vier maken niet uit 
B: 	dat maken niet uit 
A: 	nee en dan gaan hij automatisch naar mij 
B: 	okee nou dan zijn het m 
A: 	yes 
B: 	dit zijn het kop dat zijn neus doorboren hebben met een pijltje 
B: 	en dat appelsteeltje aan de bovenkant 
B: 	het lijken wel een een pijl in de zin van een pijl en boog 
A: 	ja 
A: 	nummer twee 
B: 	ja 
A: 	ja twee 
A: 	ja dit zijn weer dat die we in het begin hebben dat bolle die in een soort balk zijn kruisigen aan de linkerkant 
A: 	nee aan de rechterkant sorry 
B: 	ja ja met die pijl en boog door zijn neus 
B: 	en een appelsteel 
A: 	ja 
A: 	ja die en het appelsteeltje 
B: 	ja dat zijn k 
B: 	neus doorboren met een pijl en een appelsteel aan de bovenkant 
A: 	ik moeten hem even zoeken 
A: 	waar zien ik hem 
A: 	ja dat zijn nummer veertien 
A: 	ja weer de neuspiercing 
B: 	de neuspiercing 
A: 	we noemen het de neuspiercing 
B: 	dat zijn 
B: 	neuspiercing 
A: 	waar zijn die 
A: 	elf 
