B: 	deze hebben een plat vierkant aan de voorkant 
B: 	en links staan twee sterrenkijker 
A: 	ja en er zitten nog een spijker bovenop 
B: 	en 
B: 	ja ja 
A: 	ja 
A: 	okee dat zijn nummer dertien 
A: 	deze hebben twee van die sterrenkijker aan de linkerkant en een plat vierkant op de voorkant en nog een spijker daar bovenin 
B: 	ja 
B: 	en een spijker 
B: 	dat zijn e 
B: 	deze hebben één de spijker erin en een vierkant aan de voorkant en link twee Verrekijers of sterrenkijker 
A: 	yeslen ja dat zijn nummer twee 
A: 	dit zijn die met die plat vierkant voorop en een spijker bovenop en twee sterrenkijker link 
B: 	ja dat zijn c 
B: 	de spijker bovenop en link twee sterrenkijker 
A: 	yes nummer drie 
A: 	dit zijn met die twee sterrenkijker links en die spijker erbovenop 
B: 	ja dat zijn k 
B: 	zeggen ik het goed ? ja k 
