A: 	even kijken dit zijn er één met een soort vierkant ja een soort paar vierkant aan de voorkant aan de rechterkant ervoor 
B: 	ja 
A: 	en één zo'n staaf naar boven en één naar de zijkant en nog iets raar naar achter 
B: 	boven 
B: 	en dan 
B: 	ja oké 
B: 	dat zijn bij mij dan E 
B: 	ja ik hebben nou weer één dan waarbij dan aan de of aan de rechterkant hebben je dan 
B: 	die vierkant die dan telkens groot worden 
B: 	en dan hebben je bovenin en aan de linkerkant dan zo'n pin uitsteken die er hetzelfde uitzien en dan 
B: 	aan de achterkant hebben je nog een 
A: 	even kijken hoor 
B: 	een 
A: 	bedoelen je die een met dat soort die soort ruit erachter 
A: 	en waar die vierkant uit komen 
B: 	nee nee die niet 
A: 	of bedoelen je die met die antenne 
B: 	je hebben dan 
A: 	of die staaf één staaf Erboven en één staaf link ervan 
B: 	ja 
A: 	en zoiets raar aan de achterkant en die blok die naar voren uitsteken 
B: 	ja die 
A: 	oké dat zijn nummer elf bij mij 
A: 	dit zijn die een met die staaf Erboven en die staaf aan de linkerkant 
A: 	aan de rechterkant wat van die blok die groot worden 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	nou hebben we weer die een met aan de linkerkant dan van die blok die dan telkens groot worden 
A: 	en die staaf Erboven en daarnaast 
B: 	en dan bovenin en 
A: 	ja dat zijn negen bij mij 
A: 	ik hebben die een even kijken hij staan eigenlijk bij mij echt net rechtsboven bij het plaat die we net hebben 
A: 	met van die vierkant komen eruit 
A: 	en zo'n staaf Erboven en zo'n staaf aan de zijkant 
A: 	vierkant komen aan de rechterkant zo naar voren die worden steeds groot zeggen maar 
B: 	vierkant die worden steeds 
A: 	ja bij mij staan die echt net boven die met die vleugel die we net hebben rechts Erboven 
B: 	die 
B: 	die aan de aan de rechterkant en dan bovenin en dan de 
A: 	ja 
A: 	staaf en aan de ander kant nog een staaf 
B: 	ja oké die 
B: 	ja bij mij zijn dat B 
A: 	ja 
B: 	dan hebben ik weer die een met aan de linkerkant dan ook die kubus die dan steeds groot worden en dan aan de bovenkant zo'n pin 
B: 	en aan de zijkant zo'n pin en dan aan de achterkant nog een raar een raar flu 
A: 	die met die met die ruit zeggen maar Erboven 
B: 	nee 
B: 	aan de aan de linkerkant hebben je dan ook 
A: 	die 
A: 	en bij mij staan die helemaal linksboven ongeveer en dan zo'n pin 
B: 	ja bij mij staan 
A: 	en dan van die vierkant die groot worden 
B: 	ja 
B: 	ja die 
A: 	bij mij nummer nummer vier zijn dat bij mij 
