B: 	dit 
B: 	ja dit dit hebben ik beschrijven volgens mij als een soort persoon met een dik neus voor en die alsof die een soort dartpijl achter in zijn hoofd hebben krijgen 
A: 	met die dansen been 
B: 	nee 
B: 	hij hebben geen been volgens mij 
A: 	oké 
B: 	of dan zitten zijn been op een gek plek maar 
B: 	tenminste hij hebben één oor en dat zijn een gevouwen oor 
A: 	een dartpijl 
A: 	ja 
B: 	en dan dan boven op zijn hoofd zijn er een soort lineaal en een soort ja of pijl of één of een soort vervormen 
B: 	ding dat erin opsteken 
B: 	en voor hebben die dus een groot ronde neus 
A: 	groot rond neus 
A: 	en dan achterin een zo'n beetje zo'n ja zo'n met zo van een ruitvorm zeggen maar 
A: 	en dan nog een klein stuk eronder en dan hebben hij ook nog een soort van rechthoekig ding ernaast 
B: 	ja 
B: 	ja ja die 
A: 	oké 
A: 	ja dat zijn veertien 
A: 	dit zijn die met de rond neus en de dartpijl achter op zijn hoofd 
B: 	waar staan die 
B: 	ja 
B: 	dat zijn N 
B: 	met de dartpijl in het hoofd 
A: 	dat zijn negen 
A: 	dit zijn de rond neus en dartpijl in zijn achterhoofd 
B: 	ja dat zijn G 
B: 	dartpijl 
A: 	vijf 
A: 	dat zijn die met de dartpijl 
B: 	ja dat zijn J 
