B: 	ik hebben deze als een soort vierkant spijker door zijn waar ze als oog 
A: 	o en Erboven zitten nog een normaal spijker 
B: 	ja normaal spijker en er zitten nog een vierkant plaat of tegen he ja 
A: 	ja vlak ja ja dat weten ik wel 
B: 	ok 
A: 	twee 
A: 	nou hier zitten gewoon wat het veel lijken op een spijker bovenin en dan twee van die vierkant achtig ding aan de linkerkant 
B: 	o ja de normaal spijker en het vierkant aan de voorkant 
A: 	ja de normaal spijker 
A: 	ja ook ja 
B: 	ok G 
A: 	o 
B: 	o spijker bovenop vierkant aan de voorkant twee spijker nog of twee vierkant spijker als oog 
A: 	o met die met dat platvorm en die normaal spijker 
A: 	bedoelen je 
B: 	ja die normaal spijker inderdaad bovenop ja 
A: 	ja die normaal spijker ja dat dan weten ik al genoeg 
B: 	o jij noemen hem de normaal spijker ok dan zullen ik dan zullen ik die gebruiken volgen keer 
A: 	ja negen 
A: 	die met die normaal spijker 
B: 	met vierkantje aan de voorkant 
A: 	ja 
B: 	ja 
B: 	d 
B: 	met de normaal spijker bovenop 
A: 	ja één 
B: 	en vierkant vooraan 
A: 	één doorgaan vlot nu 
A: 	met die normaal spijker en dat vierkantje of ja vierkant 
B: 	ja en vierkant oog 
B: 	even kijken B 
