A: 	oké dit zijn de propeller 
B: 	een propeller ja 
B: 	ja nog even nogmaals dus 
A: 	ja dus hij hebben zeggen maar één soort van propellerding naar boven één naar de linkerkant en een soort van verrekijkerding naar de rechterkant 
B: 	ja dat zijn E 
A: 	yes 
B: 	oké dit zijn weer die propeller dus één boven één link en die verrekijker rechts 
A: 	yes 
A: 	ja dat zijn elf 
A: 	dit zijn de propeller 
B: 	de propeller 
B: 	even de propeller who ja 
A: 	ja en de verrekijker zeggen maar 
B: 	ja dat zijn J 
B: 	dit zijn de propeller met de verrekijker rechts 
A: 	yes dat zijn negen 
A: 	dit zijn de propeller 
A: 	met de verrekijker 
B: 	ja met de rug nee nee de propeller zijn met de verrekijker 
A: 	ja dus zeggen maar van dan één ding boven één ding aan de zijkant en nog een verrekijkerding 
B: 	ja ja ja 
B: 	dat zijn de B 
B: 	dit zijn de propeller 
A: 	ja 
A: 	dat zijn vier 
B: 	met de verrekijker 
