B: 	deze omschrijven ik als kop met twee lepel 
B: 	ja er zitten twee dinge in twee verschillend dinge met een bolle aan de voorkant 
A: 	ja 
A: 	ja één zijn veel een soort van fancy en de ander zijn veel een rechthoek of zo 
B: 	ja 
B: 	ja 
B: 	en er zitten nog een bolle aan de voorkant ja 
A: 	ja 
A: 	ik hebben hem als dik neus 
B: 	ja ja 
A: 	ja 
B: 	en dan nog aan de ander kant nog zo'n raar 
A: 	en dan zitten komen er een soort van driehoek staaf uit zijn oor of zo 
B: 	ja die 
B: 	ja 
A: 	ja dat zijn bij mij veertien 
A: 	bij mij zijn dit die een waarvan we hebben zeggen die heel dik neus met die twee soort alsof er twee dinge in staan een soort van fancy ding en dan met dat driehoekig punt wat eruit komen 
B: 	ja 
B: 	en aan de zijkant nog ja 
B: 	dat zijn N 
A: 	ja 
B: 	dit zijn die een met die twee lepelt één fancy en een groot neus en dan aan de zijkant zo'n half driehoek 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn die een met die groot neus en die twee één fancy lepel en één weinig fancy lepel wat erin opsteken 
B: 	ja 
B: 	G 
B: 	dit zijn die een met die neus en die twee twee lepelt één fancy en één niet 
A: 	ja nummer vijf 
A: 	dit zijn die een met de dik neus en die twee fancy lepel of de een fancy lepel en de ander 
B: 	ja 
B: 	ja 
B: 	J 
