A: 	deze zullen ik de ander stekker noemen 
A: 	maar dan aan de rechterkant steken er twee wat bredere pinn uit 
A: 	hij hebben een soort drinktui aan de bovenkant 
B: 	ja 
A: 	en links nog twee verschillend soort uitsteeksel 
A: 	één midden één wat veel onderaan 
B: 	ja 
B: 	als je hem een kwartslag zullen draaien zullen ik er een varken in zien 
B: 	met veel fantasie 
A: 	nice ja nee net 
B: 	ja dat zijn hem 
B: 	dat zijn letter I 
A: 	net 
B: 	ja ik noemen het het varken als je hem iets draaien 
A: 	ja 
A: 	oké ja hebbes nummer twee 
B: 	ja 
A: 	het varken 
B: 	het varken waar staan die ook alweer 
B: 	ja 
B: 	letter M 
B: 	het varken 
A: 	varken waar zijn je ? waar zijn je ? waar zijn je 
A: 	hebbes 
A: 	nummer negen 
A: 	varken 
B: 	het varken 
B: 	letter F 
B: 	het varken 
A: 	varken waar zijn je 
A: 	hebbes 
A: 	nummer zes 
