B: 	oké ik hebben één met een rond voorop 
B: 	en dan twee dinge die Erboven uitsteken en één die er links uit opsteken 
A: 	even kijken rond voorop 
B: 	dus een beetje zoals die neuspiercing die je net hebben alleen dan zonder de piercing zelf zonder die 
A: 	ja twee ding die boven uitsteken en één link of wat 
B: 	ja 
A: 	en dan één wat uitsteken zijn 
B: 	één die rechtop eruit opsteken en één die iets schuin naar links met een apart vorm laten maar zeggen een soort ruit 
A: 	ja oké ja ik noemen het als een soort ik hebben hem beschrijven als een indiaan volgens mij zo'n indianentooi een beetje 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	veertien 
A: 	ik dit noemen ik de indiaan jij hebben het volgens mij ook als theekopje met die gek ja met dat staafj de die vierkant 
B: 	ja ja ja met die rond ding voorop 
A: 	ja rond neus voorop vierkant staaf bovenop en daarnaast dat gek teken 
B: 	ja 
B: 	ja 
B: 	N 
B: 	de indiaan 
B: 	met de met de neus 
A: 	de indiaan 
A: 	ja 
A: 	dat zijn negen 
A: 	de hoe de indiaan 
B: 	oeh ja met de neus voorop 
A: 	met de neus voorop ja 
B: 	G 
B: 	dit zijn de indiaan 
A: 	de indiaan die hebben we 
B: 	met dat rond voorop 
A: 	dat zijn vijf 
A: 	de indiaan 
