A: 	even kijken hoor ja dit lijken er een beetje op alsof er Linksboven een kraantje zitten 
A: 	hij staan op een plateau die krom staan 
A: 	en zo waar die dat plateau waar die op staat dat zitten ook rechtsmidden 
A: 	dus dat zijn volgens mij het enig die dat hebben 
B: 	plateau 
B: 	het plateau waar 
A: 	waar die op waar die op leunen dat zitten precies ook rechtsmidd alleen dan wel draaien 
A: 	met bovenop een een wat zijn het ? een een vierkant draaien met één met een balk erdoorheen 
B: 	dat oké ja dus dat dus hij hebben onderaan hebben die zo'n een schuin 
A: 	ja waar die op waar die op leunen 
B: 	schuin plateau en dan rechts hebben die twee hebben die twee uitsteeksel en dan bovenop zo'n schuin vierkantje 
A: 	ja 
B: 	ja dat zijn M 
A: 	ja 
B: 	deze dit zijn met het schuin schuin plateau onder twee uitsteeksel rechts en het schuin vierkantje bovenop 
A: 	oké 
A: 	ja 
A: 	met met iets erdoorheen ook nog 
B: 	ja 
A: 	bovenop 
B: 	ja precies 
A: 	ja dat zijn nummer negen 
A: 	ja hoe hebben we deze ook alweer 
A: 	de plateau waar die op leunen ja hij maken het figuurt niet helemaal af maar het plateau waar die op leunen die zitten ook aan de rechterkant 
A: 	maar er zitten nog een balk voor 
A: 	en bovenop zitten een vierkant draaien met met wat erdoorheen 
B: 	ja 
B: 	dat zijn hem 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn weer met het vierkantje boven het draaien vierkantje bovenop met die torent er zo er aan beide kant in 
B: 	en het schuin plateau onder 
A: 	ja 
A: 	waar die ook het plateau ook aan de rechterkant zitten toch 
B: 	ja precies 
A: 	ja dus dat zijn nummer elf 
A: 	ja dit zijn dat gek ding bovenop die twee torent die tegen het vierkantje aan steken 
A: 	het plateau waar die op leunen zitten ook weer aan de rechterkant 
B: 	twee 
A: 	met een balk nog ervoor 
B: 	die weer 
B: 	ja 
B: 	dus die een met dat met het schuin vierkantje bovenop bedoelen je 
A: 	ja ja 
B: 	ja 
B: 	dat zijn D 
B: 	weer het het schuin vierkantje met de twee toren er zo bovenin tegenin drukken zeggen maar en dan het schuin plateau onder 
A: 	ja dat zijn nummer veertien 
