B: 	M M M M M ja 
B: 	oké deze zijn complex er zitten wel vier of vijf dinge aan de kom kop 
B: 	waaronder hij zijn omringen door een plateau een vierkant plateau 
A: 	ja 
A: 	en zitten boven twee stok 
B: 	ja 
A: 	oké 
A: 	nummer nummer drie 
B: 	oké 
A: 	de bak worden doorboren door een vierkant 
A: 	bovenop staan twee uitstulping 
A: 	een aan de linkerkant zitten nog een een een een L op de zijkant 
B: 	ja 
B: 	dat zijn B 
B: 	een bak met een plateau om zich heen bouwen 
B: 	en met twee uitstulpinkjes op de op zijn hoofd 
A: 	ja 
A: 	twaalf 
A: 	de bak die die doorboren worden door de door het vierkant 
A: 	en bovenop staan twee gelijk stokjes 
B: 	C 
B: 	kop doorboren door een plank 
B: 	en twee 
A: 	ja 
A: 	nummer tien 
B: 	ding op zijn kop 
A: 	de bak die doorboren worden door een plaat , bovenop twee gelijk stokjes 
A: 	met de L aan de linkerkant 
B: 	ja 
B: 	waar zitten hij 
B: 	I 
